Outer_iter,Outer_Success,MinDisToGoal
0,0.01,0.24484958551839206
1,0.05,0.23633706538576457
2,0.2,0.18890918731042727
3,0.53,0.10954747250598734
4,0.53,0.11129277607924165
5,0.68,0.07414681320436696
6,0.55,0.10738407496357494
7,0.64,0.0821471737612819
8,0.47,0.10513175486354281
9,0.54,0.10488083940726538
10,0.51,0.11603132671187594
11,0.49,0.1078476236299199
12,0.55,0.09610563696059483
13,0.62,0.09801730268728347
14,0.65,0.09849596239100361
15,0.55,0.10547155094918521
16,0.49,0.10734311607548311
17,0.61,0.09628832038326114
18,0.51,0.13357185886653297
19,0.42,0.12146863377854242
20,0.56,0.09153863788899796
21,0.66,0.07343537917937021
22,0.49,0.09673470741494933
23,0.59,0.07695710397149368
24,0.58,0.09342989850466477
25,0.66,0.08375709937316488
26,0.65,0.07820365381223594
27,0.61,0.09364062614473917
28,0.64,0.0755024110008532
29,0.57,0.0911938845300819
30,0.67,0.08017009630561844
31,0.67,0.06762310729386206
32,0.74,0.0535188599543253
33,0.81,0.04245220474301578
34,0.67,0.06549038329271738
35,0.71,0.06340218914283982
36,0.77,0.0618197556561566
37,0.78,0.04888395215380042
38,0.75,0.06501770952918796
39,0.73,0.06661492236327841
40,0.83,0.04087261731900266
41,0.75,0.04858744320552346
42,0.74,0.07224018795095642
43,0.79,0.04921695036866573
44,0.75,0.05577792203628942
45,0.76,0.053858410137146435
46,0.69,0.06200215575214475
47,0.77,0.05637894879100641
48,0.7,0.06689014881690902
49,0.74,0.057880414858013304
50,0.83,0.033754219234289826
51,0.84,0.043957196180606874
52,0.76,0.05119887234433671
53,0.86,0.04760733305208922
54,0.81,0.030834503386559
55,0.78,0.042078647660413734
56,0.8,0.04646233348836446
57,0.75,0.039362250742090835
58,0.78,0.041848764532275276
59,0.83,0.042963458745538835
60,0.77,0.0468913780769497
61,0.75,0.050573658938116335
62,0.84,0.03969905443118729
63,0.8,0.046051060558965656
64,0.77,0.05622389883380402
65,0.77,0.06135098322746704
66,0.74,0.061230512882098236
67,0.84,0.04093311340691283
68,0.78,0.042040935748524716
69,0.85,0.03312096161806602
70,0.85,0.034353136893466266
71,0.84,0.03975759573834991
72,0.84,0.04346845722770671
73,0.8,0.029948655275192037
74,0.86,0.037629067126253114
75,0.82,0.05092608697062512
76,0.88,0.02813357732531935
77,0.92,0.02477832807892928
78,0.88,0.038017991128970606
79,0.88,0.038564169308264215
80,0.88,0.033148649749760103
81,0.87,0.037867971640776515
82,0.93,0.029610816185169458
83,0.95,0.01988171697185595
84,0.92,0.02885838302263365
85,0.88,0.03314736706959513
86,0.92,0.022251126935350727
87,0.75,0.049775466267538204
88,0.89,0.030899295668585576
89,0.87,0.0381388954668545
90,0.85,0.05155282832177604
91,0.85,0.0341959080389065
92,0.8,0.06879460742507787
93,0.84,0.04168892033050674
94,0.89,0.0354668480311583
95,0.88,0.027686448850039683
96,0.9,0.031180891334959857
97,0.82,0.04363778138454495
98,0.83,0.04508147625000624
99,0.83,0.04881512062076917
100,0.79,0.03969922491122357
101,0.71,0.062031869351465485
102,0.74,0.06105742590018333
103,0.76,0.04085923802590988
104,0.85,0.04156048970375102
105,0.73,0.06282529733291504
106,0.75,0.0647444877226867
107,0.72,0.05493165459379814
108,0.77,0.047079373002808095
109,0.75,0.06214422969803616
110,0.82,0.04972640628869379
111,0.84,0.03776186475640143
112,0.8,0.044462775124772404
113,0.83,0.04202653189200751
114,0.83,0.046411059184089866
115,0.82,0.04851817486522448
116,0.86,0.036861522078876933
117,0.8,0.043058780545626923
118,0.84,0.04000739929957145
119,0.79,0.044042228569844334
120,0.79,0.04635020344226984
121,0.75,0.05595771484300535
122,0.79,0.04052057924184974
123,0.81,0.04302104103334716
124,0.86,0.032563575488348255
125,0.75,0.04625015965051452
126,0.82,0.040489148335240144
127,0.78,0.04662584903748402
128,0.85,0.04114904375652686
129,0.86,0.03922128963275798
130,0.83,0.04256591196018926
131,0.79,0.06075144989772933
132,0.76,0.05349027616104023
133,0.7,0.063499925484718
134,0.75,0.06210321346682439
135,0.75,0.060254032931144445
136,0.75,0.053247963357139404
137,0.78,0.053420211745196955
138,0.83,0.0361032033333897
139,0.89,0.02952841524470648
140,0.83,0.03682615654001048
141,0.89,0.030334347331186107
142,0.76,0.054548463745289946
143,0.89,0.029797856361397344
144,0.87,0.03558228110995941
145,0.88,0.030506671996623304
146,0.88,0.03138852241109709
147,0.92,0.0241999781348235
148,0.81,0.04383714802363956
149,0.87,0.02819721284930334
150,0.84,0.028975714044416297
151,0.87,0.028475438995397707
152,0.92,0.019463015148685026
153,0.86,0.02971347486307507
154,0.87,0.02821495398547731
155,0.93,0.030926061721007717
156,0.89,0.026165990047819165
157,0.89,0.03644146518810091
158,0.73,0.06770272955457482
159,0.78,0.05150115797913442
160,0.75,0.06901648464153137
161,0.73,0.06606590794545705
162,0.77,0.053260812402044264
163,0.8,0.05011593685165797
164,0.8,0.04952481736170127
165,0.78,0.0515585607942953
166,0.83,0.04845779630941915
