Outer_iter,Outer_Success,MinDisToGoal
0,0.02,0.23415760667790184
1,0.05,0.22336589920116595
2,0.05,0.23521506442744514
3,0.06,0.21047620874976197
4,0.13,0.20298720721971494
5,0.15,0.17089907026713544
6,0.23,0.15603121600153858
7,0.22,0.18670221300507822
8,0.23,0.16216592678228067
9,0.42,0.11123844106347891
10,0.48,0.13799652422706085
11,0.46,0.13195501603830428
12,0.44,0.12973089114717745
13,0.51,0.12185851989094823
14,0.57,0.09439497436203967
15,0.54,0.08371131495210977
16,0.6,0.09759200197274856
17,0.6,0.08123999167477854
18,0.58,0.10609212703857933
19,0.63,0.08770735771482166
20,0.56,0.10984774339431738
21,0.61,0.0951496805532508
22,0.62,0.08147483084259234
23,0.6,0.08775671197343515
24,0.69,0.06894562072052916
25,0.71,0.06558590298089689
26,0.75,0.060464191590075815
27,0.75,0.06167320364700776
28,0.74,0.0640403442069291
29,0.83,0.056349440146006645
30,0.7,0.0577479592290307
31,0.73,0.0691497729544481
32,0.81,0.05377300880574778
33,0.85,0.06471303561815016
34,0.75,0.06770012504079945
35,0.8,0.07013278893656186
36,0.77,0.06486208432385288
37,0.77,0.06354223633198114
38,0.82,0.051908081117505896
39,0.87,0.0473483907764934
40,0.9,0.04058680488024954
41,0.92,0.032107026878677926
42,0.82,0.05775693217639722
43,0.83,0.05540134194929852
44,0.84,0.044644017859716285
45,0.84,0.04905201975141451
46,0.81,0.05970225243550414
47,0.86,0.05625337935168148
48,0.86,0.049629666896520604
49,0.89,0.03441901060396829
50,0.83,0.0673628818620517
51,0.79,0.04044400304831547
52,0.84,0.04813340696523079
53,0.93,0.0337848954784767
54,0.87,0.03511728829070117
55,0.83,0.05714480724271083
56,0.91,0.03533978322994133
57,0.92,0.03514565711611475
58,0.9,0.033328511040474296
59,0.78,0.037513360549903896
60,0.94,0.028921481636521026
61,0.93,0.03289295958961119
62,0.95,0.027518768811430117
63,0.9,0.03695235857610046
64,0.88,0.0580833259425068
65,0.82,0.05685727437088325
66,0.87,0.048881796558085056
67,0.94,0.0267489453987505
68,0.96,0.02589392854767643
69,0.89,0.041150580921063495
70,0.96,0.024076727442878122
71,0.92,0.03014384659509358
72,0.9,0.03512067543528228
73,0.91,0.0429520517718959
74,0.95,0.020826020304366352
75,0.87,0.053931596603528795
76,0.87,0.05022356252707434
77,0.91,0.040139800791806984
78,0.95,0.030295912191848108
79,0.85,0.03625294682159508
80,0.93,0.031731382114733565
81,0.97,0.022671341989745887
82,0.95,0.02732759824104836
83,0.97,0.025204379520989573
84,0.88,0.04255797847544143
85,0.89,0.043590384180542896
86,0.89,0.04032025460804169
87,0.9,0.04192522422171776
88,0.88,0.03944227713607839
89,0.84,0.058968187922308374
90,0.87,0.046631951281288254
91,0.79,0.057512832720492985
92,0.9,0.04155865390918602
93,0.86,0.05116604027115649
94,0.91,0.032797936123063594
95,0.92,0.03723478982104394
96,0.93,0.031156124224050258
97,0.88,0.04679986439514791
98,0.9,0.0413255890261677
99,0.97,0.018769718977875258
100,0.96,0.02129518921519039
101,0.94,0.016749802987833393
102,0.93,0.02528175659387606
103,0.97,0.022956980254022888
104,0.95,0.02947870921097338
105,0.9,0.04075608184113391
106,0.96,0.024984889792187243
107,0.92,0.034131874899609504
108,0.93,0.0286860661963269
109,0.94,0.028294170085049596
110,0.96,0.017167532274420014
111,0.99,0.014880916866248739
112,0.97,0.02012501121082764
113,0.96,0.0187908530541122
114,0.98,0.013008925378263092
115,0.93,0.03325436515236147
116,0.93,0.031348034396924615
117,0.95,0.017138873819021395
118,0.98,0.012628723541639486
119,0.99,0.016482535903440104
120,0.98,0.015473198858320826
121,0.99,0.01596558771760013
122,0.97,0.01588891086037278
123,0.96,0.024223118375937852
124,0.97,0.017543002274376163
125,0.98,0.014175852335588364
126,0.98,0.016987893526059745
127,0.98,0.014200736427766356
128,0.95,0.013986647560782231
129,0.95,0.025205883634183922
130,0.96,0.019901651937522354
131,0.96,0.019179156334038737
132,0.97,0.01568443778531424
133,0.96,0.01948186443393831
134,0.95,0.019700526149863156
135,0.95,0.027804233557240755
136,0.97,0.017728915278689812
137,0.97,0.015960442828258516
138,0.99,0.011462313506864621
139,0.91,0.03129158203782589
140,0.95,0.022164300354462797
141,0.99,0.014376686859236393
142,0.93,0.028195643832751666
143,0.98,0.017368556451542554
144,0.98,0.013465894495448074
145,0.96,0.017845810226027
146,0.97,0.01648414483329198
147,0.99,0.014189701094601628
148,0.97,0.018629930637445315
149,0.94,0.020915697110518328
150,1.0,0.010582420068096152
151,0.98,0.016494393728170364
152,0.98,0.01611333831548443
153,0.97,0.01650556022250097
154,0.99,0.012936502108842753
155,0.98,0.01393524559945451
156,0.97,0.016288313586934437
157,0.99,0.01157581313212765
158,0.99,0.009894523690830792
159,1.0,0.009161212892809923
160,0.99,0.013527065241149184
161,1.0,0.00832022603493563
162,1.0,0.009728062713668197
163,0.98,0.011878307214616152
164,0.96,0.013633057852518293
165,0.97,0.014071021892137521
166,0.95,0.01427984495136149
167,0.94,0.013252184362082572
168,0.98,0.013434254098002146
