"Step","Value","AWAC-PickPlace4-seed1 - eval_reward_0__MIN","AWAC-PickPlace4-seed1 - eval_reward_0__MAX"
"2999","7","7","7"
"5999","65","65","65"
"8999","75","75","75"
"11999","24","24","24"
"14999","45","45","45"
"17999","58","58","58"
"20999","29","29","29"
"23999","42","42","42"
"26999","66","66","66"
"29999","68","68","68"
"32999","52","52","52"
"35999","65","65","65"
"38999","69","69","69"
"41999","73","73","73"
"44999","82","82","82"
"47999","80","80","80"
"50999","72","72","72"
"53999","77","77","77"
"56999","82","82","82"
"59999","81","81","81"
"62999","89","89","89"
"65999","87","87","87"
"68999","77","77","77"
"71999","71","71","71"
"74999","80","80","80"
"77999","84","84","84"
"80999","80","80","80"
"83999","72","72","72"
"86999","82","82","82"
"89999","81","81","81"
"92999","67","67","67"
"95999","82","82","82"
"98999","89","89","89"
"101999","81","81","81"
"104999","85","85","85"
"107999","85","85","85"
"110999","88","88","88"
"113999","86","86","86"
"116999","81","81","81"
"119999","79","79","79"
"122999","79","79","79"
"125999","86","86","86"
"128999","85","85","85"
"131999","83","83","83"
"134999","88","88","88"
"137999","84","84","84"
"140999","81","81","81"
"143999","88","88","88"
"146999","84","84","84"
"149999","84","84","84"
"152999","79","79","79"
"155999","77","77","77"
"158999","77","77","77"
"161999","79","79","79"
"164999","86","86","86"
"167999","84","84","84"
"170999","89","89","89"
"173999","90","90","90"
"176999","84","84","84"
"179999","82","82","82"
"182999","93","93","93"
"185999","83","83","83"
"188999","85","85","85"
"191999","92","92","92"
"194999","78","78","78"
"197999","79","79","79"
"200999","84","84","84"
"203999","84","84","84"
"206999","81","81","81"
"209999","84","84","84"
"212999","78","78","78"
"215999","81","81","81"
"218999","83","83","83"
"221999","83","83","83"
"224999","88","88","88"
"227999","86","86","86"
"230999","81","81","81"
"233999","76","76","76"
"236999","85","85","85"
"239999","82","82","82"
"242999","78","78","78"
"245999","83","83","83"
"248999","89","89","89"
"251999","82","82","82"
"254999","68","68","68"
"257999","81","81","81"
"260999","83","83","83"
"263999","83","83","83"
"266999","85","85","85"
"269999","81","81","81"
"272999","89","89","89"
"275999","84","84","84"
"278999","82","82","82"
"281999","74","74","74"
"284999","89","89","89"
"287999","91","91","91"
"290999","88","88","88"
"293999","82","82","82"
"296999","82","82","82"
"299999","80","80","80"
"302999","75","75","75"
"305999","75","75","75"
"308999","86","86","86"
"311999","80","80","80"
"314999","84","84","84"
"317999","74","74","74"
"320999","81","81","81"
"323999","82","82","82"
"326999","82","82","82"
"329999","78","78","78"
"332999","81","81","81"
"335999","73","73","73"
"338999","82","82","82"
"341999","86","86","86"
"344999","79","79","79"
"347999","89","89","89"
"350999","85","85","85"
"353999","87","87","87"
"356999","83","83","83"
"359999","92","92","92"
"362999","86","86","86"
"365999","67","67","67"
"368999","72","72","72"
"371999","80","80","80"
"374999","92","92","92"
"377999","86","86","86"
"380999","79","79","79"
"383999","87","87","87"
"386999","53","53","53"
"389999","76","76","76"
"392999","77","77","77"
"395999","82","82","82"
"398999","77","77","77"
"401999","80","80","80"
"404999","83","83","83"
"407999","78","78","78"
"410999","80","80","80"
"413999","83","83","83"
"416999","83","83","83"
"419999","88","88","88"
"422999","87","87","87"
"425999","79","79","79"
"428999","80","80","80"
"431999","82","82","82"
"434999","79","79","79"
"437999","85","85","85"
"440999","88","88","88"
"443999","86","86","86"
"446999","84","84","84"
"449999","90","90","90"
"452999","83","83","83"
"455999","84","84","84"
"458999","78","78","78"
"461999","82","82","82"
"464999","91","91","91"
"467999","92","92","92"
"470999","82","82","82"
"473999","87","87","87"
"476999","81","81","81"
"479999","85","85","85"
"482999","81","81","81"
"485999","85","85","85"
"488999","76","76","76"
"491999","74","74","74"
"494999","81","81","81"
"497999","82","82","82"
"500999","73","73","73"
"503999","42","42","42"
