"Step","Value","AWAC-customBlock-f7901fd1 - eval_reward_0__MIN","AWAC-customBlock-f7901fd1 - eval_reward_0__MAX"
"2999","0","0","0"
"5999","10","10","10"
"8999","33","33","33"
"11999","48","48","48"
"14999","62","62","62"
"17999","54","54","54"
"20999","48","48","48"
"23999","58","58","58"
"26999","69","69","69"
"29999","48","48","48"
"32999","66","66","66"
"35999","61","61","61"
"38999","55","55","55"
"41999","67","67","67"
"44999","64","64","64"
"47999","69","69","69"
"50999","68","68","68"
"53999","67","67","67"
"56999","67","67","67"
"59999","60","60","60"
"62999","63","63","63"
"65999","67","67","67"
"68999","63","63","63"
"71999","73","73","73"
"74999","63","63","63"
"77999","75","75","75"
"80999","80","80","80"
"83999","81","81","81"
"86999","14","14","14"
"89999","13","13","13"
"92999","45","45","45"
"95999","52","52","52"
"98999","26","26","26"
"101999","65","65","65"
"104999","72","72","72"
"107999","83","83","83"
"110999","63","63","63"
"113999","72","72","72"
"116999","79","79","79"
"119999","69","69","69"
"122999","67","67","67"
"125999","60","60","60"
"128999","72","72","72"
"131999","67","67","67"
"134999","78","78","78"
"137999","84","84","84"
"140999","28","28","28"
"143999","73","73","73"
"146999","82","82","82"
"149999","74","74","74"
"152999","78","78","78"
"155999","80","80","80"
"158999","71","71","71"
"161999","80","80","80"
"164999","74","74","74"
"167999","76","76","76"
"170999","80","80","80"
"173999","79","79","79"
"176999","74","74","74"
"179999","76","76","76"
"182999","83","83","83"
"185999","87","87","87"
"188999","85","85","85"
"191999","77","77","77"
"194999","70","70","70"
"197999","88","88","88"
"200999","82","82","82"
"203999","82","82","82"
"206999","77","77","77"
"209999","81","81","81"
"212999","88","88","88"
"215999","81","81","81"
"218999","86","86","86"
"221999","79","79","79"
"224999","89","89","89"
"227999","81","81","81"
"230999","80","80","80"
"233999","73","73","73"
"236999","84","84","84"
"239999","81","81","81"
"242999","89","89","89"
"245999","84","84","84"
"248999","79","79","79"
"251999","77","77","77"
"254999","85","85","85"
"257999","88","88","88"
"260999","86","86","86"
"263999","48","48","48"
"266999","82","82","82"
"269999","36","36","36"
"272999","86","86","86"
"275999","88","88","88"
"278999","73","73","73"
"281999","83","83","83"
"284999","81","81","81"
"287999","86","86","86"
"290999","90","90","90"
"293999","77","77","77"
"296999","93","93","93"
"299999","90","90","90"
"302999","91","91","91"
"305999","87","87","87"
"308999","78","78","78"
"311999","90","90","90"
"314999","88","88","88"
"317999","89","89","89"
"320999","87","87","87"
"323999","88","88","88"
"326999","78","78","78"
"329999","83","83","83"
"332999","85","85","85"
"335999","82","82","82"
"338999","88","88","88"
"341999","87","87","87"
"344999","91","91","91"
"347999","89","89","89"
"350999","94","94","94"
"353999","88","88","88"
"356999","86","86","86"
"359999","82","82","82"
"362999","89","89","89"
"365999","88","88","88"
"368999","92","92","92"
"371999","89","89","89"
"374999","86","86","86"
"377999","85","85","85"
"380999","89","89","89"
"383999","83","83","83"
"386999","85","85","85"
"389999","89","89","89"
"392999","87","87","87"
"395999","81","81","81"
"398999","86","86","86"
"401999","89","89","89"
"404999","87","87","87"
"407999","88","88","88"
"410999","90","90","90"
"413999","91","91","91"
"416999","88","88","88"
"419999","80","80","80"
"422999","88","88","88"
"425999","93","93","93"
"428999","90","90","90"
"431999","80","80","80"
"434999","89","89","89"
"437999","89","89","89"
"440999","83","83","83"
"443999","88","88","88"
"446999","85","85","85"
"449999","83","83","83"
"452999","91","91","91"
"455999","84","84","84"
"458999","87","87","87"
"461999","94","94","94"
"464999","84","84","84"
"467999","86","86","86"
"470999","90","90","90"
"473999","85","85","85"
"476999","88","88","88"
"479999","84","84","84"
"482999","93","93","93"
"485999","86","86","86"
"488999","92","92","92"
"491999","85","85","85"
"494999","89","89","89"
"497999","93","93","93"
"500999","87","87","87"
"503999","84","84","84"
"506999","87","87","87"
"509999","90","90","90"
"512999","95","95","95"
"515999","93","93","93"
"518999","85","85","85"
"521999","87","87","87"
"524999","83","83","83"
"527999","84","84","84"
"530999","89","89","89"
"533999","92","92","92"
"536999","92","92","92"
"539999","90","90","90"
"542999","92","92","92"
"545999","86","86","86"
"548999","90","90","90"
"551999","89","89","89"
"554999","83","83","83"
"557999","92","92","92"
"560999","86","86","86"
"563999","92","92","92"
"566999","83","83","83"
"569999","90","90","90"
"572999","85","85","85"
"575999","89","89","89"
"578999","86","86","86"
"581999","95","95","95"
"584999","89","89","89"
"587999","91","91","91"
"590999","89","89","89"
"593999","90","90","90"
"596999","85","85","85"
"599999","82","82","82"
"602999","92","92","92"
"605999","87","87","87"
"608999","88","88","88"
"611999","92","92","92"
"614999","94","94","94"
"617999","87","87","87"
"620999","90","90","90"
"623999","93","93","93"
"626999","76","76","76"
"629999","88","88","88"
"632999","94","94","94"
"635999","93","93","93"
