"Step","Value","AWAC-PickPlace4-seed0 - eval_reward__MIN","AWAC-PickPlace4-seed0 - eval_reward__MAX"
"2999","1","1","1"
"5999","44","44","44"
"8999","79","79","79"
"11999","59","59","59"
"14999","73","73","73"
"17999","73","73","73"
"20999","71","71","71"
"23999","64","64","64"
"26999","81","81","81"
"29999","80","80","80"
"32999","74","74","74"
"35999","71","71","71"
"38999","77","77","77"
"41999","73","73","73"
"44999","80","80","80"
"47999","79","79","79"
"50999","82","82","82"
"53999","74","74","74"
"56999","78","78","78"
"59999","74","74","74"
"62999","79","79","79"
"65999","81","81","81"
"68999","79","79","79"
"71999","78","78","78"
"74999","81","81","81"
"77999","74","74","74"
"80999","85","85","85"
"83999","80","80","80"
"86999","80","80","80"
"89999","82","82","82"
"92999","80","80","80"
"95999","79","79","79"
"98999","79","79","79"
"101999","78","78","78"
"104999","83","83","83"
"107999","75","75","75"
"110999","72","72","72"
"113999","85","85","85"
"116999","73","73","73"
"119999","78","78","78"
"122999","81","81","81"
"125999","74","74","74"
"128999","80","80","80"
"131999","83","83","83"
"134999","77","77","77"
"137999","65","65","65"
"140999","84","84","84"
"143999","85","85","85"
"146999","77","77","77"
"149999","73","73","73"
"152999","82","82","82"
"155999","83","83","83"
"158999","74","74","74"
"161999","86","86","86"
"164999","85","85","85"
"167999","87","87","87"
"170999","78","78","78"
"173999","86","86","86"
"176999","75","75","75"
"179999","87","87","87"
"182999","88","88","88"
"185999","84","84","84"
"188999","79","79","79"
"191999","83","83","83"
"194999","74","74","74"
"197999","75","75","75"
"200999","86","86","86"
"203999","83","83","83"
"206999","85","85","85"
"209999","84","84","84"
"212999","77","77","77"
"215999","84","84","84"
"218999","84","84","84"
"221999","85","85","85"
"224999","83","83","83"
"227999","78","78","78"
"230999","85","85","85"
"233999","87","87","87"
"236999","90","90","90"
"239999","83","83","83"
"242999","89","89","89"
"245999","89","89","89"
"248999","85","85","85"
"251999","87","87","87"
"254999","87","87","87"
"257999","83","83","83"
"260999","84","84","84"
"263999","83","83","83"
"266999","89","89","89"
"269999","81","81","81"
"272999","87","87","87"
"275999","80","80","80"
"278999","79","79","79"
"281999","83","83","83"
"284999","80","80","80"
"287999","87","87","87"
"290999","81","81","81"
"293999","82","82","82"
"296999","81","81","81"
"299999","92","92","92"
"302999","89","89","89"
"305999","82","82","82"
"308999","84","84","84"
"311999","80","80","80"
"314999","89","89","89"
"317999","82","82","82"
"320999","76","76","76"
"323999","80","80","80"
"326999","80","80","80"
"329999","81","81","81"
"332999","83","83","83"
"335999","81","81","81"
"338999","75","75","75"
"341999","79","79","79"
"344999","86","86","86"
"347999","83","83","83"
"350999","85","85","85"
"353999","85","85","85"
"356999","85","85","85"
"359999","85","85","85"
"362999","80","80","80"
"365999","91","91","91"
"368999","88","88","88"
"371999","79","79","79"
"374999","82","82","82"
"377999","83","83","83"
"380999","81","81","81"
"383999","84","84","84"
"386999","84","84","84"
"389999","85","85","85"
"392999","87","87","87"
"395999","84","84","84"
"398999","84","84","84"
"401999","85","85","85"
"404999","84","84","84"
"407999","80","80","80"
"410999","84","84","84"
"413999","88","88","88"
"416999","88","88","88"
"419999","83","83","83"
"422999","90","90","90"
"425999","86","86","86"
"428999","87","87","87"
"431999","88","88","88"
"434999","88","88","88"
"437999","81","81","81"
"440999","86","86","86"
"443999","80","80","80"
"446999","84","84","84"
"449999","85","85","85"
"452999","87","87","87"
"455999","86","86","86"
"458999","92","92","92"
"461999","85","85","85"
"464999","89","89","89"
"467999","85","85","85"
"470999","84","84","84"
"473999","84","84","84"
"476999","81","81","81"
"479999","82","82","82"
"482999","84","84","84"
"485999","80","80","80"
"488999","81","81","81"
"491999","82","82","82"
"494999","86","86","86"
"497999","83","83","83"
"500999","87","87","87"
"503999","85","85","85"
"506999","86","86","86"
"509999","86","86","86"
"512999","88","88","88"
"515999","83","83","83"
"518999","86","86","86"
"521999","85","85","85"
"524999","93","93","93"
"527999","86","86","86"
