"Step","Value","1p - success_rate__MIN","1p - success_rate__MAX"
"40000","0.1037735864520073","0.1037735864520073","0.1037735864520073"
"80000","0.0882352963089943","0.0882352963089943","0.0882352963089943"
"120000","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"160000","0.11999999731779099","0.11999999731779099","0.11999999731779099"
"200000","0.09803921729326248","0.09803921729326248","0.09803921729326248"
"240000","0.14851485192775726","0.14851485192775726","0.14851485192775726"
"280000","0.0882352963089943","0.0882352963089943","0.0882352963089943"
"320000","0.14018692076206207","0.14018692076206207","0.14018692076206207"
"360000","0.16346153616905212","0.16346153616905212","0.16346153616905212"
"400000","0.2800000011920929","0.2800000011920929","0.2800000011920929"
"440000","0.49000000953674316","0.49000000953674316","0.49000000953674316"
"480000","0.6499999761581421","0.6499999761581421","0.6499999761581421"
"520000","0.7599999904632568","0.7599999904632568","0.7599999904632568"
"560000","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"600000","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"640000","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"680000","0.9801980257034302","0.9801980257034302","0.9801980257034302"
"720000","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"760000","0.9901960492134094","0.9901960492134094","0.9901960492134094"
"800000","1","1","1"
"840000","1","1","1"
"880000","1","1","1"
"920000","1","1","1"
"960000","1","1","1"
"1000000","1","1","1"
"1040000","1","1","1"
"1080000","1","1","1"
"1120000","0.9801980257034302","0.9801980257034302","0.9801980257034302"
"1160000","1","1","1"
"1200000","1","1","1"
"1240000","1","1","1"
"1280000","1","1","1"
"1320000","0.9902912378311157","0.9902912378311157","0.9902912378311157"
"1360000","1","1","1"
"1400000","1","1","1"
"1440000","1","1","1"
"1480000","1","1","1"
"1520000","0.9900990128517151","0.9900990128517151","0.9900990128517151"
"1560000","1","1","1"
"1600000","1","1","1"
"1640000","1","1","1"
"1680000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"1720000","1","1","1"
"1760000","1","1","1"
"1800000","1","1","1"
"1840000","1","1","1"
"1880000","1","1","1"
"1920000","1","1","1"
"1960000","1","1","1"
"2000000","1","1","1"
"2040000","1","1","1"
"2080000","1","1","1"
"2120000","1","1","1"
"2160000","1","1","1"
"2200000","1","1","1"
"2240000","1","1","1"
"2280000","1","1","1"
"2320000","1","1","1"
"2360000","1","1","1"
"2400000","1","1","1"
"2440000","1","1","1"
"2480000","1","1","1"
"2520000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"2560000","1","1","1"
"2600000","1","1","1"
"2640000","0.9902912378311157","0.9902912378311157","0.9902912378311157"
"2680000","1","1","1"
"2720000","0.9900990128517151","0.9900990128517151","0.9900990128517151"
"2760000","0.9900990128517151","0.9900990128517151","0.9900990128517151"
"2800000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"2840000","1","1","1"
"2880000","1","1","1"
"2920000","0.9900990128517151","0.9900990128517151","0.9900990128517151"
"2960000","1","1","1"
"3000000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"3040000","0.9900990128517151","0.9900990128517151","0.9900990128517151"
"3080000","1","1","1"
"3120000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"3160000","1","1","1"
"3200000","1","1","1"
"3240000","1","1","1"
"3280000","1","1","1"
"3320000","1","1","1"
"3360000","1","1","1"
"3400000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"3440000","1","1","1"
"3480000","1","1","1"
"3520000","1","1","1"
"3560000","1","1","1"
"3600000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"3640000","1","1","1"
"3680000","1","1","1"
"3720000","1","1","1"
"3760000","1","1","1"
"3800000","1","1","1"
"3840000","1","1","1"
"3880000","0.9900990128517151","0.9900990128517151","0.9900990128517151"
"3920000","1","1","1"
"3960000","1","1","1"
"4000000","1","1","1"
