"Step","Value","1p-2 - success_rate__MIN","1p-2 - success_rate__MAX"
"40000","0.0784313753247261","0.0784313753247261","0.0784313753247261"
"80000","0.059405941516160965","0.059405941516160965","0.059405941516160965"
"120000","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"160000","0.11538461595773697","0.11538461595773697","0.11538461595773697"
"200000","0.0882352963089943","0.0882352963089943","0.0882352963089943"
"240000","0.10999999940395355","0.10999999940395355","0.10999999940395355"
"280000","0.1599999964237213","0.1599999964237213","0.1599999964237213"
"320000","0.20999999344348907","0.20999999344348907","0.20999999344348907"
"360000","0.28999999165534973","0.28999999165534973","0.28999999165534973"
"400000","0.41999998688697815","0.41999998688697815","0.41999998688697815"
"440000","0.5799999833106995","0.5799999833106995","0.5799999833106995"
"480000","0.8500000238418579","0.8500000238418579","0.8500000238418579"
"520000","0.8613861203193665","0.8613861203193665","0.8613861203193665"
"560000","0.8899999856948853","0.8899999856948853","0.8899999856948853"
"600000","1","1","1"
"640000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"680000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"720000","1","1","1"
"760000","1","1","1"
"800000","1","1","1"
"840000","1","1","1"
"880000","1","1","1"
"920000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"960000","1","1","1"
"1000000","1","1","1"
"1040000","1","1","1"
"1080000","1","1","1"
"1120000","0.9900990128517151","0.9900990128517151","0.9900990128517151"
"1160000","1","1","1"
"1200000","1","1","1"
"1240000","1","1","1"
"1280000","1","1","1"
"1320000","1","1","1"
"1360000","1","1","1"
"1400000","1","1","1"
"1440000","1","1","1"
"1480000","1","1","1"
"1520000","1","1","1"
"1560000","1","1","1"
"1600000","1","1","1"
"1640000","1","1","1"
"1680000","1","1","1"
"1720000","1","1","1"
"1760000","1","1","1"
"1800000","1","1","1"
"1840000","1","1","1"
"1880000","1","1","1"
"1920000","1","1","1"
"1960000","1","1","1"
"2000000","1","1","1"
"2040000","1","1","1"
"2080000","1","1","1"
"2120000","1","1","1"
"2160000","1","1","1"
"2200000","1","1","1"
"2240000","1","1","1"
"2280000","1","1","1"
"2320000","1","1","1"
"2360000","1","1","1"
"2400000","1","1","1"
"2440000","1","1","1"
"2480000","1","1","1"
"2520000","1","1","1"
"2560000","1","1","1"
"2600000","1","1","1"
"2640000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"2680000","1","1","1"
"2720000","0.9902912378311157","0.9902912378311157","0.9902912378311157"
"2760000","0.9900990128517151","0.9900990128517151","0.9900990128517151"
"2800000","1","1","1"
"2840000","1","1","1"
"2880000","1","1","1"
"2920000","1","1","1"
"2960000","1","1","1"
"3000000","1","1","1"
"3040000","1","1","1"
"3080000","1","1","1"
"3120000","1","1","1"
"3160000","1","1","1"
"3200000","1","1","1"
"3240000","1","1","1"
"3280000","1","1","1"
"3320000","1","1","1"
"3360000","1","1","1"
"3400000","1","1","1"
"3440000","1","1","1"
"3480000","0.9903846383094788","0.9903846383094788","0.9903846383094788"
"3520000","1","1","1"
"3560000","1","1","1"
"3600000","1","1","1"
"3640000","1","1","1"
"3680000","1","1","1"
"3720000","1","1","1"
"3760000","1","1","1"
"3800000","1","1","1"
"3840000","1","1","1"
"3880000","1","1","1"
"3920000","1","1","1"
"3960000","1","1","1"
"4000000","1","1","1"
