"Step","Value","gail_push1-1 - avg_ep_found_goal__MIN","gail_push1-1 - avg_ep_found_goal__MAX"
"4096","0","0","0"
"8192","0","0","0"
"12288","0","0","0"
"16384","0","0","0"
"20480","0","0","0"
"24576","0","0","0"
"28672","0","0","0"
"32768","0","0","0"
"36864","0","0","0"
"40960","0","0","0"
"45056","0","0","0"
"49152","0","0","0"
"53248","0","0","0"
"57344","0","0","0"
"61440","0","0","0"
"65536","0","0","0"
"69632","0","0","0"
"73728","0","0","0"
"77824","0","0","0"
"81920","0","0","0"
"86016","0","0","0"
"90112","0.01","0.01","0.01"
"94208","0.01","0.01","0.01"
"98304","0","0","0"
"102400","0","0","0"
"106496","0.01","0.01","0.01"
"110592","0","0","0"
"114688","0.01","0.01","0.01"
"118784","0.02","0.02","0.02"
"122880","0.02","0.02","0.02"
"126976","0.04","0.04","0.04"
"131072","0.03","0.03","0.03"
"135168","0.04","0.04","0.04"
"139264","0.02","0.02","0.02"
"143360","0.01","0.01","0.01"
"147456","0.01","0.01","0.01"
"151552","0.01","0.01","0.01"
"155648","0.03","0.03","0.03"
"159744","0","0","0"
"163840","0.03","0.03","0.03"
"167936","0.05","0.05","0.05"
"172032","0.02","0.02","0.02"
"176128","0.01","0.01","0.01"
"180224","0.02","0.02","0.02"
"184320","0.02","0.02","0.02"
"188416","0.02","0.02","0.02"
"192512","0.02","0.02","0.02"
"196608","0.01","0.01","0.01"
"200704","0","0","0"
"204800","0.01","0.01","0.01"
"208896","0.01","0.01","0.01"
"212992","0","0","0"
"217088","0","0","0"
"221184","0.01","0.01","0.01"
"225280","0.02","0.02","0.02"
"229376","0.02","0.02","0.02"
"233472","0","0","0"
"237568","0.01","0.01","0.01"
"241664","0.02","0.02","0.02"
"245760","0.01","0.01","0.01"
"249856","0","0","0"
"253952","0","0","0"
"258048","0.04","0.04","0.04"
"262144","0.01","0.01","0.01"
"266240","0","0","0"
"270336","0.01","0.01","0.01"
"274432","0.02","0.02","0.02"
"278528","0.01","0.01","0.01"
"282624","0.04","0.04","0.04"
"286720","0.05","0.05","0.05"
"290816","0.05","0.05","0.05"
"294912","0.01","0.01","0.01"
"299008","0.03","0.03","0.03"
"303104","0.03","0.03","0.03"
"307200","0.03","0.03","0.03"
"311296","0.01","0.01","0.01"
"315392","0.05","0.05","0.05"
"319488","0.02","0.02","0.02"
"323584","0.02","0.02","0.02"
"327680","0.05","0.05","0.05"
"331776","0.04","0.04","0.04"
"335872","0.01","0.01","0.01"
"339968","0.01","0.01","0.01"
"344064","0.03","0.03","0.03"
"348160","0.05","0.05","0.05"
"352256","0.04","0.04","0.04"
"356352","0.02","0.02","0.02"
"360448","0.04","0.04","0.04"
"364544","0.04","0.04","0.04"
"368640","0.03","0.03","0.03"
"372736","0.02","0.02","0.02"
"376832","0.02","0.02","0.02"
"380928","0","0","0"
"385024","0","0","0"
"389120","0.04","0.04","0.04"
"393216","0.03","0.03","0.03"
"397312","0.02","0.02","0.02"
"401408","0.01","0.01","0.01"
"405504","0","0","0"
"409600","0.01","0.01","0.01"
"413696","0.01","0.01","0.01"
"417792","0.02","0.02","0.02"
"421888","0.01","0.01","0.01"
"425984","0.02","0.02","0.02"
"430080","0.01","0.01","0.01"
"434176","0.01","0.01","0.01"
"438272","0.02","0.02","0.02"
"442368","0.02","0.02","0.02"
"446464","0","0","0"
"450560","0.02","0.02","0.02"
"454656","0","0","0"
"458752","0","0","0"
"462848","0","0","0"
"466944","0.01","0.01","0.01"
"471040","0.05","0.05","0.05"
"475136","0.03","0.03","0.03"
"479232","0.03","0.03","0.03"
"483328","0.02","0.02","0.02"
"487424","0.03","0.03","0.03"
"491520","0.02","0.02","0.02"
"495616","0.01","0.01","0.01"
"499712","0.02","0.02","0.02"
"503808","0.05","0.05","0.05"
"507904","0.02","0.02","0.02"
"512000","0.02","0.02","0.02"
"516096","0.01","0.01","0.01"
"520192","0.03","0.03","0.03"
"524288","0.03","0.03","0.03"
"528384","0.02","0.02","0.02"
"532480","0.02","0.02","0.02"
"536576","0.05","0.05","0.05"
"540672","0.03","0.03","0.03"
"544768","0.08","0.08","0.08"
"548864","0.12","0.12","0.12"
"552960","0.12","0.12","0.12"
"557056","0.1","0.1","0.1"
"561152","0.04","0.04","0.04"
"565248","0.04","0.04","0.04"
"569344","0.1","0.1","0.1"
"573440","0.09","0.09","0.09"
"577536","0.05","0.05","0.05"
"581632","0.02","0.02","0.02"
"585728","0.02","0.02","0.02"
"589824","0.01","0.01","0.01"
"593920","0.02","0.02","0.02"
"598016","0.02","0.02","0.02"
"602112","0.02","0.02","0.02"
"606208","0.02","0.02","0.02"
"610304","0.03","0.03","0.03"
"614400","0.03","0.03","0.03"
"618496","0.03","0.03","0.03"
"622592","0.04","0.04","0.04"
"626688","0.04","0.04","0.04"
"630784","0.02","0.02","0.02"
"634880","0.02","0.02","0.02"
"638976","0.02","0.02","0.02"
"643072","0.03","0.03","0.03"
"647168","0.03","0.03","0.03"
"651264","0.01","0.01","0.01"
"655360","0","0","0"
"659456","0","0","0"
"663552","0.01","0.01","0.01"
"667648","0.03","0.03","0.03"
"671744","0.02","0.02","0.02"
"675840","0.03","0.03","0.03"
"679936","0.03","0.03","0.03"
"684032","0.03","0.03","0.03"
"688128","0","0","0"
"692224","0","0","0"
"696320","0.02","0.02","0.02"
"700416","0.03","0.03","0.03"
"704512","0.07","0.07","0.07"
"708608","0.04","0.04","0.04"
"712704","0.05","0.05","0.05"
"716800","0.06","0.06","0.06"
"720896","0.05","0.05","0.05"
"724992","0.05","0.05","0.05"
"729088","0.03","0.03","0.03"
"733184","0.02","0.02","0.02"
"737280","0.07","0.07","0.07"
"741376","0.05","0.05","0.05"
"745472","0.04","0.04","0.04"
"749568","0.02","0.02","0.02"
"753664","0.03","0.03","0.03"
"757760","0.02","0.02","0.02"
"761856","0.03","0.03","0.03"
"765952","0.07","0.07","0.07"
"770048","0.15","0.15","0.15"
"774144","0.07","0.07","0.07"
"778240","0.08","0.08","0.08"
"782336","0.08","0.08","0.08"
"786432","0.1","0.1","0.1"
"790528","0.08","0.08","0.08"
"794624","0.09","0.09","0.09"
"798720","0.13","0.13","0.13"
"802816","0.16","0.16","0.16"
"806912","0.12","0.12","0.12"
"811008","0.14","0.14","0.14"
"815104","0.14","0.14","0.14"
"819200","0.13","0.13","0.13"
"823296","0.15","0.15","0.15"
"827392","0.1","0.1","0.1"
"831488","0.08","0.08","0.08"
"835584","0.08","0.08","0.08"
"839680","0.17","0.17","0.17"
"843776","0.11","0.11","0.11"
"847872","0.09","0.09","0.09"
"851968","0.06","0.06","0.06"
"856064","0.08","0.08","0.08"
"860160","0.07","0.07","0.07"
"864256","0.05","0.05","0.05"
"868352","0.03","0.03","0.03"
"872448","0.07","0.07","0.07"
"876544","0.13","0.13","0.13"
"880640","0.09","0.09","0.09"
"884736","0.06","0.06","0.06"
"888832","0.06","0.06","0.06"
"892928","0.11","0.11","0.11"
"897024","0.1","0.1","0.1"
"901120","0.12","0.12","0.12"
"905216","0.14","0.14","0.14"
"909312","0.14","0.14","0.14"
"913408","0.16","0.16","0.16"
"917504","0.08","0.08","0.08"
"921600","0.11","0.11","0.11"
"925696","0.1","0.1","0.1"
"929792","0.12","0.12","0.12"
"933888","0.14","0.14","0.14"
"937984","0.12","0.12","0.12"
"942080","0.01","0.01","0.01"
"946176","0.07","0.07","0.07"
"950272","0.16","0.16","0.16"
"954368","0.14","0.14","0.14"
"958464","0.13","0.13","0.13"
"962560","0.12","0.12","0.12"
"966656","0.13","0.13","0.13"
"970752","0.16","0.16","0.16"
"974848","0.16","0.16","0.16"
"978944","0.17","0.17","0.17"
"983040","0.18","0.18","0.18"
"987136","0.11","0.11","0.11"
"991232","0.13","0.13","0.13"
"995328","0.12","0.12","0.12"
