"Step","Value","gail_push1 - avg_ep_found_goal__MIN","gail_push1 - avg_ep_found_goal__MAX"
"4096","0","0","0"
"8192","0","0","0"
"12288","0","0","0"
"16384","0","0","0"
"20480","0","0","0"
"24576","0","0","0"
"28672","0","0","0"
"32768","0","0","0"
"36864","0","0","0"
"40960","0","0","0"
"45056","0","0","0"
"49152","0","0","0"
"53248","0","0","0"
"57344","0","0","0"
"61440","0","0","0"
"65536","0","0","0"
"69632","0","0","0"
"73728","0","0","0"
"77824","0","0","0"
"81920","0","0","0"
"86016","0","0","0"
"90112","0","0","0"
"94208","0","0","0"
"98304","0","0","0"
"102400","0","0","0"
"106496","0.01","0.01","0.01"
"110592","0.01","0.01","0.01"
"114688","0","0","0"
"118784","0","0","0"
"122880","0","0","0"
"126976","0.01","0.01","0.01"
"131072","0","0","0"
"135168","0.02","0.02","0.02"
"139264","0.01","0.01","0.01"
"143360","0.01","0.01","0.01"
"147456","0.04","0.04","0.04"
"151552","0.04","0.04","0.04"
"155648","0.05","0.05","0.05"
"159744","0.05","0.05","0.05"
"163840","0.05","0.05","0.05"
"167936","0.06","0.06","0.06"
"172032","0.03","0.03","0.03"
"176128","0.02","0.02","0.02"
"180224","0.04","0.04","0.04"
"184320","0.05","0.05","0.05"
"188416","0.03","0.03","0.03"
"192512","0.05","0.05","0.05"
"196608","0.04","0.04","0.04"
"200704","0.03","0.03","0.03"
"204800","0.04","0.04","0.04"
"208896","0.01","0.01","0.01"
"212992","0.02","0.02","0.02"
"217088","0.04","0.04","0.04"
"221184","0.03","0.03","0.03"
"225280","0.03","0.03","0.03"
"229376","0.04","0.04","0.04"
"233472","0.03","0.03","0.03"
"237568","0.01","0.01","0.01"
"241664","0","0","0"
"245760","0","0","0"
"249856","0.05","0.05","0.05"
"253952","0.05","0.05","0.05"
"258048","0.05","0.05","0.05"
"262144","0.03","0.03","0.03"
"266240","0.05","0.05","0.05"
"270336","0.05","0.05","0.05"
"274432","0.07","0.07","0.07"
"278528","0.02","0.02","0.02"
"282624","0.02","0.02","0.02"
"286720","0.02","0.02","0.02"
"290816","0.01","0.01","0.01"
"294912","0.01","0.01","0.01"
"299008","0.03","0.03","0.03"
"303104","0.04","0.04","0.04"
"307200","0.03","0.03","0.03"
"311296","0.05","0.05","0.05"
"315392","0.02","0.02","0.02"
"319488","0.05","0.05","0.05"
"323584","0.05","0.05","0.05"
"327680","0.03","0.03","0.03"
"331776","0.02","0.02","0.02"
"335872","0.01","0.01","0.01"
"339968","0","0","0"
"344064","0.04","0.04","0.04"
"348160","0.06","0.06","0.06"
"352256","0.03","0.03","0.03"
"356352","0.04","0.04","0.04"
"360448","0.07","0.07","0.07"
"364544","0.06","0.06","0.06"
"368640","0.04","0.04","0.04"
"372736","0.07","0.07","0.07"
"376832","0.05","0.05","0.05"
"380928","0.05","0.05","0.05"
"385024","0.08","0.08","0.08"
"389120","0.04","0.04","0.04"
"393216","0.04","0.04","0.04"
"397312","0.07","0.07","0.07"
"401408","0.01","0.01","0.01"
"405504","0.05","0.05","0.05"
"409600","0.02","0.02","0.02"
"413696","0.02","0.02","0.02"
"417792","0.05","0.05","0.05"
"421888","0.04","0.04","0.04"
"425984","0.02","0.02","0.02"
"430080","0.06","0.06","0.06"
"434176","0.06","0.06","0.06"
"438272","0.03","0.03","0.03"
"442368","0.02","0.02","0.02"
"446464","0.05","0.05","0.05"
"450560","0.07","0.07","0.07"
"454656","0.09","0.09","0.09"
"458752","0.06","0.06","0.06"
"462848","0.03","0.03","0.03"
"466944","0.01","0.01","0.01"
"471040","0.02","0.02","0.02"
"475136","0.03","0.03","0.03"
"479232","0.03","0.03","0.03"
"483328","0.03","0.03","0.03"
"487424","0.02","0.02","0.02"
"491520","0","0","0"
"495616","0.04","0.04","0.04"
"499712","0.04","0.04","0.04"
"503808","0.01","0.01","0.01"
"507904","0.04","0.04","0.04"
"512000","0.05","0.05","0.05"
"516096","0.1","0.1","0.1"
"520192","0.07","0.07","0.07"
"524288","0.08","0.08","0.08"
"528384","0.09","0.09","0.09"
"532480","0.09","0.09","0.09"
"536576","0.08","0.08","0.08"
"540672","0.06","0.06","0.06"
"544768","0.06","0.06","0.06"
"548864","0.06","0.06","0.06"
"552960","0.04","0.04","0.04"
"557056","0.05","0.05","0.05"
"561152","0.07","0.07","0.07"
"565248","0.04","0.04","0.04"
"569344","0.06","0.06","0.06"
"573440","0.04","0.04","0.04"
"577536","0.06","0.06","0.06"
"581632","0.09","0.09","0.09"
"585728","0.06","0.06","0.06"
"589824","0.02","0.02","0.02"
"593920","0.02","0.02","0.02"
"598016","0.1","0.1","0.1"
"602112","0.11","0.11","0.11"
"606208","0.08","0.08","0.08"
"610304","0.05","0.05","0.05"
"614400","0.07","0.07","0.07"
"618496","0.07","0.07","0.07"
"622592","0.05","0.05","0.05"
"626688","0.04","0.04","0.04"
"630784","0.01","0.01","0.01"
"634880","0.03","0.03","0.03"
"638976","0.03","0.03","0.03"
"643072","0.08","0.08","0.08"
"647168","0.06","0.06","0.06"
"651264","0.04","0.04","0.04"
"655360","0.03","0.03","0.03"
"659456","0.04","0.04","0.04"
"663552","0.04","0.04","0.04"
"667648","0.04","0.04","0.04"
"671744","0.05","0.05","0.05"
"675840","0.04","0.04","0.04"
"679936","0.06","0.06","0.06"
"684032","0.06","0.06","0.06"
"688128","0.02","0.02","0.02"
"692224","0","0","0"
"696320","0.03","0.03","0.03"
"700416","0.05","0.05","0.05"
"704512","0.07","0.07","0.07"
"708608","0.05","0.05","0.05"
"712704","0.04","0.04","0.04"
"716800","0.03","0.03","0.03"
"720896","0.03","0.03","0.03"
"724992","0.04","0.04","0.04"
"729088","0.04","0.04","0.04"
"733184","0","0","0"
"737280","0.02","0.02","0.02"
"741376","0.01","0.01","0.01"
"745472","0.02","0.02","0.02"
"749568","0.02","0.02","0.02"
"753664","0.03","0.03","0.03"
"757760","0.02","0.02","0.02"
"761856","0.02","0.02","0.02"
"765952","0","0","0"
"770048","0","0","0"
"774144","0","0","0"
"778240","0","0","0"
"782336","0.01","0.01","0.01"
"786432","0.02","0.02","0.02"
"790528","0.03","0.03","0.03"
"794624","0.05","0.05","0.05"
"798720","0.04","0.04","0.04"
"802816","0.04","0.04","0.04"
"806912","0.03","0.03","0.03"
"811008","0.02","0.02","0.02"
"815104","0.08","0.08","0.08"
"819200","0.11","0.11","0.11"
"823296","0.13","0.13","0.13"
"827392","0.08","0.08","0.08"
"831488","0.1","0.1","0.1"
"835584","0.1","0.1","0.1"
"839680","0.07","0.07","0.07"
"843776","0.03","0.03","0.03"
"847872","0.1","0.1","0.1"
"851968","0.08","0.08","0.08"
"856064","0.06","0.06","0.06"
"860160","0.09","0.09","0.09"
"864256","0.11","0.11","0.11"
"868352","0.15","0.15","0.15"
"872448","0.12","0.12","0.12"
"876544","0.1","0.1","0.1"
"880640","0.13","0.13","0.13"
"884736","0.15","0.15","0.15"
"888832","0.17","0.17","0.17"
"892928","0.16","0.16","0.16"
"897024","0.24","0.24","0.24"
"901120","0.17","0.17","0.17"
"905216","0.14","0.14","0.14"
"909312","0.23","0.23","0.23"
"913408","0.2","0.2","0.2"
"917504","0.21","0.21","0.21"
"921600","0.22","0.22","0.22"
"925696","0.19","0.19","0.19"
"929792","0.17","0.17","0.17"
"933888","0.13","0.13","0.13"
"937984","0.16","0.16","0.16"
"942080","0.16","0.16","0.16"
"946176","0.12","0.12","0.12"
"950272","0.09","0.09","0.09"
"954368","0.21","0.21","0.21"
"958464","0.17","0.17","0.17"
"962560","0.07","0.07","0.07"
"966656","0.01","0.01","0.01"
"970752","0.03","0.03","0.03"
"974848","0.08","0.08","0.08"
"978944","0.1","0.1","0.1"
"983040","0.11","0.11","0.11"
"987136","0.11","0.11","0.11"
"991232","0.11","0.11","0.11"
