Wall time,Step,Value
1730092009.958488,2120,0.0
1730092013.1926444,2712,0.0
1730092020.4881585,4048,0.022727273404598236
1730092022.1070662,4104,0.02083333395421505
1730092033.5699286,5400,0.016393441706895828
1730092034.3851519,5464,0.015625
1730092047.7003798,6752,0.01315789483487606
1730092048.8130496,6832,0.012500000186264515
1730092053.6008608,7448,0.0117647061124444
1730092067.8378944,8800,0.009999999776482582
1730092094.3436677,11536,0.0
1730092106.777508,12808,0.0
1730092118.0328739,14104,0.0
1730092125.0670059,14792,0.0
1730092131.638733,15480,0.0
1730092132.9288423,15608,0.0
1730092138.8507884,16304,0.0
1730092145.1470842,16968,0.0
1730092149.4963236,17528,0.0
1730092157.988857,18336,0.0
1730092161.6010756,18824,0.0
1730092163.484975,19024,0.0
1730092167.5730133,19512,0.009999999776482582
1730092170.058115,19704,0.009999999776482582
1730092188.6945455,21752,0.019999999552965164
1730092194.6437757,22416,0.019999999552965164
1730092199.0082266,22920,0.019999999552965164
1730092200.737282,23088,0.019999999552965164
1730092204.7514815,23584,0.019999999552965164
1730092212.5874825,24472,0.019999999552965164
1730092217.44621,24920,0.019999999552965164
1730092220.2980165,25152,0.019999999552965164
1730092223.9478009,25584,0.019999999552965164
1730092239.804978,27176,0.029999999329447746
1730092257.2133393,28960,0.009999999776482582
1730092266.8086734,29856,0.019999999552965164
1730092270.9586515,30288,0.019999999552965164
1730092289.8134928,32336,0.03999999910593033
1730092314.8060074,35024,0.029999999329447746
1730092325.7102091,36024,0.029999999329447746
1730092329.1963444,36360,0.03999999910593033
1730092352.3729417,38744,0.029999999329447746
1730092363.4466317,39728,0.009999999776482582
1730092369.7603698,40384,0.009999999776482582
1730092392.251662,42464,0.019999999552965164
1730092394.8693733,42760,0.019999999552965164
1730092398.7615612,43144,0.019999999552965164
1730092408.058978,44128,0.029999999329447746
1730092411.572294,44504,0.029999999329447746
1730092432.82102,46856,0.019999999552965164
1730092441.1342812,47448,0.019999999552965164
1730092447.024257,48112,0.019999999552965164
1730092451.4786768,48560,0.019999999552965164
1730092454.1287975,48824,0.019999999552965164
1730092477.6834579,51256,0.009999999776482582
1730092495.2708275,52984,0.009999999776482582
1730092501.61687,53672,0.009999999776482582
1730092504.7183664,54000,0.009999999776482582
1730092508.2758708,54368,0.009999999776482582
1730092518.8384128,55384,0.019999999552965164
1730092528.4697042,56424,0.019999999552965164
1730092535.9387834,57128,0.019999999552965164
1730092538.376147,57408,0.019999999552965164
1730092547.3845778,58408,0.019999999552965164
1730092569.520227,60320,0.029999999329447746
1730092573.8297553,60824,0.029999999329447746
1730092580.4934068,61504,0.019999999552965164
1730092590.6193728,62368,0.029999999329447746
1730092597.958262,63072,0.029999999329447746
1730092601.8099759,63536,0.019999999552965164
1730092608.1595185,64200,0.019999999552965164
1730092614.886477,64880,0.019999999552965164
1730092617.1737888,65120,0.019999999552965164
1730092640.4667938,67560,0.029999999329447746
1730092666.6345482,70320,0.029999999329447746
1730092668.8736587,70496,0.029999999329447746
1730092673.7833486,71040,0.029999999329447746
1730092685.7811139,72384,0.029999999329447746
1730092705.7390823,74408,0.05000000074505806
1730092716.8194346,75704,0.05999999865889549
1730092719.644299,75864,0.05999999865889549
1730092725.2940843,76536,0.05999999865889549
1730092732.7098093,77224,0.05000000074505806
1730092739.5233338,77952,0.03999999910593033
1730092751.7096004,79128,0.03999999910593033
1730092754.0021195,79280,0.03999999910593033
1730092757.8886552,79688,0.03999999910593033
1730092766.5807302,80640,0.03999999910593033
1730092797.9042788,83960,0.009999999776482582
1730092804.0057216,84640,0.019999999552965164
1730092823.1575994,86688,0.05000000074505806
1730092832.3395197,87816,0.05000000074505806
1730092834.7589362,88072,0.05000000074505806
1730092838.3512814,88496,0.05999999865889549
1730092842.4107077,88760,0.05999999865889549
1730092848.9819162,89408,0.05999999865889549
1730092860.7471035,90736,0.05999999865889549
1730092867.1173446,91392,0.05000000074505806
1730092875.5909593,92072,0.05999999865889549
1730092881.901574,92752,0.05000000074505806
1730092898.6480644,94552,0.029999999329447746
1730092905.0620472,95224,0.03999999910593033
1730092917.4422967,96544,0.05000000074505806
1730092941.2777817,98832,0.03999999910593033
1730092945.2716863,99296,0.03999999910593033
1730092960.3105154,100888,0.05000000074505806
1730092964.0729244,101288,0.05000000074505806
1730092967.4199245,101584,0.05000000074505806
1730092973.9615045,102264,0.05000000074505806
1730092976.2860606,102544,0.05000000074505806
1730092979.9433486,102960,0.03999999910593033
1730092992.3354213,104320,0.019999999552965164
1730092996.02112,104552,0.03999999910593033
1730093002.472522,105240,0.05000000074505806
1730093012.770842,106296,0.05999999865889549
1730093026.741581,107680,0.07000000029802322
1730093029.0787556,107968,0.07000000029802322
1730093032.4401662,108368,0.07000000029802322
1730093034.9275186,108592,0.07999999821186066
1730093041.2462988,109272,0.07000000029802322
1730093052.2138455,110384,0.07999999821186066
1730093054.0826523,110600,0.07999999821186066
1730093057.6535265,111048,0.07999999821186066
1730093066.0155656,111944,0.07999999821186066
1730093070.1163936,112400,0.07999999821186066
1730093076.365879,113072,0.07000000029802322
1730093093.92474,115040,0.07999999821186066
1730093100.4475765,115712,0.07000000029802322
1730093110.0531325,116728,0.05999999865889549
1730093113.1628299,117064,0.05000000074505806
1730093119.9862108,117744,0.05000000074505806
1730093123.675264,118104,0.05000000074505806
1730093139.473856,119816,0.05999999865889549
1730093142.0596545,120120,0.05999999865889549
1730093154.8815613,121472,0.05999999865889549
1730093161.0680213,122152,0.05999999865889549
1730093170.7876787,123160,0.029999999329447746
1730093184.3950443,124528,0.03999999910593033
1730093196.8027613,125888,0.03999999910593033
1730093202.622853,126560,0.05000000074505806
1730093214.968654,127888,0.029999999329447746
1730093217.5682874,128192,0.03999999910593033
1730093220.937638,128568,0.03999999910593033
