"global_step","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX","Grouped runs - rollout/success_rate","Grouped runs - rollout/success_rate__MIN","Grouped runs - rollout/success_rate__MAX"
"4000","0","0","0","0.375","0.125","0.625"
"8000","1","1","1","0.3125","0.125","0.5625"
"12000","2","2","2","0.2500000049670537","0.125","0.4583333432674408"
"16000","3","3","3","0.25","0.15625","0.4375"
"20000","4","4","4","0.24166666467984518","0.125","0.44999998807907104"
"24000","5","5","5","0.23611110945542654","0.125","0.4375"
"28000","6","6","6","0.23809523632129034","0.1071428582072258","0.4642857015132904"
"32000","7","7","7","0.23958333333333334","0.125","0.4375"
"36000","8","8","8","0.2407407412926356","0.125","0.4444444477558136"
"40000","9","9","9","0.24583333233992258","0.13750000298023224","0.4375"
"44000","10","10","10","0.2424242446819941","0.13636364042758942","0.4318181872367859"
"48000","11","11","11","0.23958333333333334","0.1354166716337204","0.40625"
"52000","12","12","12","0.23333332935969034","0.14000000059604645","0.38999998569488525"
"56000","13","13","13","0.22666666160027185","0.11999999731779099","0.38999998569488525"
"60000","14","14","14","0.21666667113701502","0.11999999731779099","0.36000001430511475"
"64000","15","15","15","0.22999999423821768","0.12999999523162842","0.38999998569488525"
"68000","16","16","16","0.21333333353201547","0.14000000059604645","0.3499999940395355"
"72000","17","17","17","0.20666666825612387","0.12999999523162842","0.33000001311302185"
"76000","18","18","18","0.20666666328907013","0.14000000059604645","0.3199999928474426"
"80000","19","19","19","0.20666666328907013","0.14000000059604645","0.3199999928474426"
"84000","20","20","20","0.20333332816759744","0.12999999523162842","0.3199999928474426"
"88000","21","21","21","0.20000000298023224","0.12999999523162842","0.30000001192092896"
"92000","22","22","22","0.2000000054637591","0.11999999731779099","0.30000001192092896"
"96000","23","23","23","0.2100000058611234","0.11999999731779099","0.33000001311302185"
"100000","24","24","24","0.2133333384990692","0.10999999940395355","0.36000001430511475"
"104000","25","25","25","0.23666665951410928","0.10999999940395355","0.38999998569488525"
"108000","26","26","26","0.24666666239500046","0.11999999731779099","0.3799999952316284"
"112000","27","27","27","0.25","0.12999999523162842","0.4000000059604645"
"116000","28","28","28","0.25333333512147266","0.12999999523162842","0.4000000059604645"
"120000","29","29","29","0.263333335518837","0.12999999523162842","0.4300000071525574"
"124000","30","30","30","0.2733333309491475","0.12999999523162842","0.4399999976158142"
"128000","31","31","31","0.28999999910593033","0.11999999731779099","0.44999998807907104"
"132000","32","32","32","0.2900000015894572","0.15000000596046448","0.44999998807907104"
"136000","33","33","33","0.29333333174387616","0.15000000596046448","0.4399999976158142"
"140000","34","34","34","0.313333327571551","0.14000000059604645","0.47999998927116394"
"144000","35","35","35","0.3266666730244954","0.15000000596046448","0.49000000953674316"
"148000","36","36","36","0.3533333291610082","0.20999999344348907","0.47999998927116394"
"152000","37","37","37","0.3733333299557368","0.23000000417232513","0.47999998927116394"
"156000","38","38","38","0.3699999948342641","0.2199999988079071","0.5"
"160000","39","39","39","0.38666666050752","0.23999999463558197","0.5"
"164000","40","40","40","0.42000000178813934","0.23999999463558197","0.550000011920929"
"168000","41","41","41","0.45999998847643536","0.28999999165534973","0.5799999833106995"
"172000","42","42","42","0.46666664878527325","0.28999999165534973","0.5899999737739563"
"176000","43","43","43","0.476666659116745","0.28999999165534973","0.6100000143051147"
"180000","44","44","44","0.4933333396911621","0.3100000023841858","0.6299999952316284"
"184000","45","45","45","0.5133333404858907","0.3100000023841858","0.6600000262260437"
"188000","46","46","46","0.5366666714350382","0.36000001430511475","0.6800000071525574"
"192000","47","47","47","0.5333333412806193","0.38999998569488525","0.6600000262260437"
"196000","48","48","48","0.5166666706403097","0.36000001430511475","0.6399999856948853"
"200000","49","49","49","0.5200000107288361","0.3499999940395355","0.6700000166893005"
"204000","50","50","50","0.5066666603088379","0.3700000047683716","0.6499999761581421"
"208000","51","51","51","0.5166666607062022","0.4000000059604645","0.6299999952316284"
"212000","52","52","52","0.52333332101504","0.4000000059604645","0.6399999856948853"
"216000","53","53","53","0.503333330154419","0.41999998688697815","0.6100000143051147"
"220000","54","54","54","0.5166666706403097","0.4399999976158142","0.6100000143051147"
"224000","55","55","55","0.5200000107288361","0.4699999988079071","0.6000000238418579"
"228000","56","56","56","0.5133333305517832","0.47999998927116394","0.5600000023841858"
"232000","57","57","57","0.5266666809717814","0.49000000953674316","0.550000011920929"
"236000","58","58","58","0.5433333317438761","0.5099999904632568","0.5699999928474426"
"240000","59","59","59","0.549999992052714","0.49000000953674316","0.5899999737739563"
"244000","60","60","60","0.5599999825159708","0.5099999904632568","0.5899999737739563"
"248000","61","61","61","0.5800000031789144","0.5400000214576721","0.6399999856948853"
"252000","62","62","62","0.5866666634877523","0.5299999713897705","0.6800000071525574"
"256000","63","63","63","0.6066666642824808","0.550000011920929","0.7099999785423279"
"260000","64","64","64","0.596666673819224","0.5199999809265137","0.7200000286102295"
"264000","65","65","65","0.5866666833559672","0.49000000953674316","0.7200000286102295"
"268000","66","66","66","0.5866666535536448","0.47999998927116394","0.7099999785423279"
"272000","67","67","67","0.5766666730244955","0.44999998807907104","0.7300000190734863"
"276000","68","68","68","0.5866666734218597","0.46000000834465027","0.75"
"280000","69","69","69","0.5866666734218597","0.4699999988079071","0.75"
"284000","70","70","70","0.5766666531562805","0.44999998807907104","0.7599999904632568"
"288000","71","71","71","0.5633333226044973","0.41999998688697815","0.7400000095367432"
"292000","72","72","72","0.5566666622956594","0.41999998688697815","0.7300000190734863"
"296000","73","73","73","0.5533333222071329","0.4399999976158142","0.7099999785423279"
"300000","74","74","74","0.546666661898295","0.4300000071525574","0.6899999976158142"
"304000","75","75","75","0.5599999924500784","0.47999998927116394","0.6399999856948853"
"308000","76","76","76","0.5533333321412405","0.47999998927116394","0.6200000047683716"
"312000","77","77","77","0.5766666730244955","0.49000000953674316","0.6600000262260437"
"316000","78","78","78","0.5833333333333334","0.5","0.6800000071525574"
"320000","79","79","79","0.6033333341280619","0.5099999904632568","0.699999988079071"
"324000","80","80","80","0.6200000047683716","0.5","0.7200000286102295"
"328000","81","81","81","0.6366666754086813","0.5199999809265137","0.7300000190734863"
"332000","82","82","82","0.6333333452542623","0.5","0.7200000286102295"
"336000","83","83","83","0.6766666769981384","0.550000011920929","0.7400000095367432"
"340000","84","84","84","0.6766666571299235","0.5299999713897705","0.75"
"344000","85","85","85","0.6933333277702332","0.5199999809265137","0.7900000214576721"
"348000","86","86","86","0.7166666785875956","0.5699999928474426","0.7900000214576721"
"352000","87","87","87","0.7366666793823242","0.5600000023841858","0.8500000238418579"
"356000","88","88","88","0.75","0.5899999737739563","0.8600000143051147"
"360000","89","89","89","0.746666669845581","0.5799999833106995","0.8700000047683716"
