"global_step","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX","Grouped runs - rollout/success_rate","Grouped runs - rollout/success_rate__MIN","Grouped runs - rollout/success_rate__MAX"
"4000","0","0","0","0.5833333333333334","0.375","0.75"
"8000","1","1","1","0.5625","0.375","0.75"
"12000","2","2","2","0.527777781089147","0.3333333432674408","0.7083333134651184"
"16000","3","3","3","0.5208333333333334","0.3125","0.71875"
"20000","4","4","4","0.48333332935969037","0.32499998807907104","0.625"
"24000","5","5","5","0.4791666666666667","0.3125","0.6041666865348816"
"28000","6","6","6","0.4761904776096344","0.3392857015132904","0.5714285969734192"
"32000","7","7","7","0.4947916666666667","0.34375","0.59375"
"36000","8","8","8","0.47685187061627704","0.3333333432674408","0.5555555820465088"
"40000","9","9","9","0.47083333134651184","0.3499999940395355","0.5375000238418579"
"44000","10","10","10","0.46590909361839294","0.35227271914482117","0.5340909361839294"
"48000","11","11","11","0.4618055522441864","0.375","0.5208333134651184"
"52000","12","12","12","0.4766666690508525","0.41999998688697815","0.5400000214576721"
"56000","13","13","13","0.46333332856496173","0.41999998688697815","0.49000000953674316"
"60000","14","14","14","0.48333332935969037","0.46000000834465027","0.5199999809265137"
"64000","15","15","15","0.4700000087420146","0.46000000834465027","0.49000000953674316"
"68000","16","16","16","0.47333333889643353","0.4399999976158142","0.5400000214576721"
"72000","17","17","17","0.4633333384990692","0.4099999964237213","0.550000011920929"
"76000","18","18","18","0.45999998847643536","0.38999998569488525","0.5699999928474426"
"80000","19","19","19","0.4599999984105428","0.3799999952316284","0.6100000143051147"
"84000","20","20","20","0.45999998847643536","0.3499999940395355","0.6399999856948853"
"88000","21","21","21","0.46666666865348816","0.36000001430511475","0.6399999856948853"
"92000","22","22","22","0.46666667858759564","0.36000001430511475","0.6600000262260437"
"96000","23","23","23","0.4833333194255829","0.38999998569488525","0.6499999761581421"
"100000","24","24","24","0.48666666944821674","0.3799999952316284","0.6600000262260437"
"104000","25","25","25","0.48000000913937885","0.33000001311302185","0.6600000262260437"
"108000","26","26","26","0.48000000913937885","0.33000001311302185","0.6800000071525574"
"112000","27","27","27","0.4766666690508525","0.3199999928474426","0.6800000071525574"
"116000","28","28","28","0.49333332975705463","0.3400000035762787","0.6899999976158142"
"120000","29","29","29","0.5133333305517832","0.3700000047683716","0.6899999976158142"
"124000","30","30","30","0.5133333305517832","0.3499999940395355","0.699999988079071"
"128000","31","31","31","0.5166666607062022","0.3499999940395355","0.6899999976158142"
"132000","32","32","32","0.5233333309491476","0.38999998569488525","0.6600000262260437"
"136000","33","33","33","0.5200000007947286","0.3700000047683716","0.6600000262260437"
"140000","34","34","34","0.5399999817212423","0.38999998569488525","0.699999988079071"
"144000","35","35","35","0.5433333416779836","0.4000000059604645","0.7300000190734863"
"148000","36","36","36","0.5366666714350382","0.4000000059604645","0.7400000095367432"
"152000","37","37","37","0.5366666714350382","0.4399999976158142","0.7300000190734863"
"156000","38","38","38","0.5433333317438761","0.4300000071525574","0.7599999904632568"
"160000","39","39","39","0.5466666718324026","0.4300000071525574","0.7400000095367432"
"164000","40","40","40","0.5300000011920929","0.4000000059604645","0.75"
"168000","41","41","41","0.5233333309491476","0.4099999964237213","0.7400000095367432"
"172000","42","42","42","0.5399999916553497","0.41999998688697815","0.75"
"176000","43","43","43","0.5699999928474426","0.44999998807907104","0.7599999904632568"
"180000","44","44","44","0.5866666734218597","0.4699999988079071","0.800000011920929"
"184000","45","45","45","0.5933333337306976","0.46000000834465027","0.8299999833106995"
"188000","46","46","46","0.6099999845027924","0.47999998927116394","0.8399999737739563"
"192000","47","47","47","0.5999999841054281","0.47999998927116394","0.8399999737739563"
"196000","48","48","48","0.6233333349227905","0.49000000953674316","0.8600000143051147"
"200000","49","49","49","0.6166666646798452","0.47999998927116394","0.8600000143051147"
"204000","50","50","50","0.6133333444595337","0.49000000953674316","0.8500000238418579"
"208000","51","51","51","0.6100000043710073","0.47999998927116394","0.8600000143051147"
"212000","52","52","52","0.6299999952316284","0.49000000953674316","0.8799999952316284"
"216000","53","53","53","0.6333333253860474","0.5099999904632568","0.8700000047683716"
"220000","54","54","54","0.6200000047683716","0.49000000953674316","0.8700000047683716"
"224000","55","55","55","0.6299999952316284","0.5","0.8799999952316284"
"228000","56","56","56","0.6233333349227905","0.49000000953674316","0.8799999952316284"
"232000","57","57","57","0.6200000047683716","0.49000000953674316","0.8700000047683716"
"236000","58","58","58","0.6199999948342642","0.47999998927116394","0.8700000047683716"
"240000","59","59","59","0.6033333440621694","0.46000000834465027","0.8600000143051147"
"244000","60","60","60","0.5966666539510092","0.44999998807907104","0.8299999833106995"
"248000","61","61","61","0.5833333233992258","0.44999998807907104","0.8199999928474426"
"252000","62","62","62","0.5999999841054281","0.4399999976158142","0.8399999737739563"
"256000","63","63","63","0.6099999845027924","0.4699999988079071","0.8399999737739563"
"260000","64","64","64","0.6066666543483734","0.46000000834465027","0.8399999737739563"
"264000","65","65","65","0.6066666742165884","0.46000000834465027","0.8500000238418579"
"268000","66","66","66","0.6066666543483734","0.47999998927116394","0.8399999737739563"
"272000","67","67","67","0.6199999849001566","0.5099999904632568","0.8299999833106995"
"276000","68","68","68","0.6099999944368998","0.5","0.8100000023841858"
"280000","69","69","69","0.6166666746139526","0.49000000953674316","0.8199999928474426"
"284000","70","70","70","0.6133333345254263","0.46000000834465027","0.8399999737739563"
"288000","71","71","71","0.6333333353201548","0.46000000834465027","0.8600000143051147"
"292000","72","72","72","0.6500000059604645","0.4699999988079071","0.8600000143051147"
"296000","73","73","73","0.6666666567325592","0.47999998927116394","0.8899999856948853"
"300000","74","74","74","0.6699999968210856","0.5099999904632568","0.8600000143051147"
"304000","75","75","75","0.6766666571299235","0.5099999904632568","0.8799999952316284"
"308000","76","76","76","0.6633333365122477","0.5199999809265137","0.8500000238418579"
"312000","77","77","77","0.6533333460489908","0.5","0.8500000238418579"
"316000","78","78","78","0.6499999761581421","0.5199999809265137","0.8399999737739563"
"320000","79","79","79","0.6400000055631002","0.5299999713897705","0.8500000238418579"
"324000","80","80","80","0.6500000158945719","0.5400000214576721","0.8700000047683716"
"328000","81","81","81","0.6300000150998434","0.49000000953674316","0.8600000143051147"
