Step,Value,1tower-1 - success_rate__MIN,1tower-1 - success_rate__MAX
40000,0,0,0
80000,0,0,0
120000,0,0,0
160000,0,0,0
200000,0,0,0
240000,0,0,0
280000,0.008928571,0.008928571,0.008928571
320000,0,0,0
360000,0,0,0
400000,0,0,0
440000,0,0,0
480000,0,0,0
520000,0,0,0
560000,0.026785714,0.026785714,0.026785714
600000,0.026785714,0.026785714,0.026785714
640000,0.053571429,0.053571429,0.053571429
680000,0.044642857,0.044642857,0.044642857
720000,0.0625,0.0625,0.0625
760000,0.125,0.125,0.125
800000,0.125,0.125,0.125
840000,0.125,0.125,0.125
880000,0.160714286,0.160714286,0.160714286
920000,0.241071429,0.241071429,0.241071429
960000,0.330357143,0.330357143,0.330357143
1000000,0.401785714,0.401785714,0.401785714
1040000,0.482142857,0.482142857,0.482142857
1080000,0.633928571,0.633928571,0.633928571
1120000,0.696428571,0.696428571,0.696428571
1160000,0.767857143,0.767857143,0.767857143
1200000,0.767857143,0.767857143,0.767857143
1240000,0.901785714,0.901785714,0.901785714
1280000,0.910714286,0.910714286,0.910714286
1320000,0.946428571,0.946428571,0.946428571
1360000,0.982142857,0.982142857,0.982142857
1400000,0.955357143,0.955357143,0.955357143
1440000,1,1,1
1480000,1,1,1
1520000,1,1,1
1560000,1,1,1
1600000,0.991071429,0.991071429,0.991071429
1640000,1,1,1
1680000,1,1,1
1720000,1,1,1
1760000,1,1,1
1800000,1,1,1
1840000,1,1,1
1880000,1,1,1
1920000,1,1,1
1960000,1,1,1
2000000,1,1,1
2040000,0.991071429,0.991071429,0.991071429
2080000,1,1,1
2120000,1,1,1
2160000,1,1,1
2200000,1,1,1
2240000,1,1,1
2280000,1,1,1
2320000,1,1,1
2360000,1,1,1
2400000,1,1,1
2440000,1,1,1
2480000,1,1,1
2520000,1,1,1
2560000,1,1,1
2600000,1,1,1
2640000,1,1,1
2680000,0.991071429,0.991071429,0.991071429
2720000,1,1,1
2760000,1,1,1
2800000,1,1,1
2840000,1,1,1
2880000,0.991071429,0.991071429,0.991071429
2920000,1,1,1
2960000,1,1,1
3000000,1,1,1
3040000,1,1,1
3080000,1,1,1
3120000,1,1,1
3160000,1,1,1
3200000,1,1,1
3240000,1,1,1
3280000,1,1,1
3320000,1,1,1
3360000,1,1,1
3400000,1,1,1
3440000,1,1,1
3480000,1,1,1
3520000,1,1,1
3560000,1,1,1
3600000,1,1,1
3640000,1,1,1
3680000,1,1,1
3720000,1,1,1
3760000,1,1,1
3800000,1,1,1
3840000,1,1,1
3880000,1,1,1
3920000,1,1,1
3960000,1,1,1
4000000,1,1,1
4040000,1,1,1
