Outer_iter,Outer_Success,MinDisToGoal
0,0.03,0.18705974736001071
1,0.22,0.1418999163281476
2,0.39,0.10557514122550568
3,0.64,0.04947168497553343
4,0.74,0.05169315113771713
5,0.87,0.031192985036537738
6,0.9,0.024995154346488146
7,0.91,0.024882682687613754
8,0.93,0.0187290892758885
9,0.81,0.04273902735635114
10,0.87,0.02879434901482273
11,0.74,0.05221606020336978
12,0.81,0.04314307688643316
13,0.89,0.028083601704347226
14,0.91,0.024827458830065204
15,0.79,0.04869285624607709
16,0.81,0.042081897845270916
17,0.81,0.04197017198718208
18,0.91,0.023537114877568377
19,0.94,0.01993834113274403
20,0.98,0.011026051815351118
21,0.96,0.015601038110435372
22,0.98,0.014106763597479527
23,0.96,0.01585405652993231
24,0.99,0.009554380343959423
25,1.0,0.008293513776349659
26,0.99,0.011044078214840452
27,0.99,0.012226977374744027
28,1.0,0.00829799110147137
29,0.99,0.00915300320649291
30,0.99,0.009250246874296352
31,0.99,0.012197537831822735
32,0.99,0.009188609741741785
33,0.98,0.013622245967237212
34,1.0,0.009446637626683905
35,0.99,0.012506925013794558
36,0.97,0.016773587282925273
37,0.94,0.021108008331385264
38,0.96,0.013585336405070831
39,0.98,0.01205251458966471
40,0.98,0.012242553704799519
41,0.97,0.009509074338138501
42,0.96,0.013378370289864806
43,0.98,0.009197596154908467
44,0.91,0.02195789729837956
45,0.94,0.015743503775936533
46,0.98,0.013212098218130693
47,1.0,0.006648416134033279
48,1.0,0.0065179382257179105
49,0.99,0.00895188813559491
50,0.99,0.00791568541717338
51,1.0,0.00912058889702656
52,0.98,0.009629525376292006
53,1.0,0.00705647897200792
54,1.0,0.007187640207731594
55,1.0,0.0049952779708447555
56,1.0,0.00607443234432272
57,0.99,0.006442287197209134
58,1.0,0.0036380465525021714
59,0.99,0.006463550483774068
60,1.0,0.004099678867032056
61,1.0,0.003797000214448098
62,1.0,0.0036042331167685394
63,1.0,0.0036797780744240115
64,1.0,0.005391256593094695
65,1.0,0.003926706832573191
66,1.0,0.0034243285142050313
67,1.0,0.005057355661175232
68,0.98,0.005253952947221852
69,0.98,0.006969746639625308
70,0.93,0.017051991446582707
71,0.92,0.02411675416577514
72,0.93,0.018068139089004363
73,0.95,0.011212913764430388
74,0.99,0.006635973377983191
75,0.99,0.0052926648302252036
76,0.98,0.008134961187815967
77,0.98,0.008781285137208458
78,0.99,0.004762945219266743
79,0.98,0.009630236619433147
80,1.0,0.0037395357111891627
81,0.99,0.004442803928307205
82,1.0,0.0026595169020509997
83,0.97,0.009255215582964178
84,1.0,0.0028487721480975016
85,0.97,0.00897221188747299
86,0.99,0.003355924569231101
87,1.0,0.0018986787344015864
88,0.99,0.006127488524453315
89,1.0,0.001784140710129853
90,0.99,0.0035821175538775117
91,0.96,0.010035654995092768
92,0.99,0.005306855826198278
93,0.97,0.005882892501403474
94,0.97,0.007430088444750956
95,1.0,0.0017923463374488915
96,0.96,0.010652084419265849
97,0.98,0.007360759354162546
98,0.99,0.0033467315147098493
99,1.0,0.0028007761091113914
100,0.96,0.008353889041460724
101,1.0,0.0017092818588772547
102,0.97,0.007362384988595835
103,1.0,0.001622182677385262
104,0.99,0.004496015845766825
105,0.97,0.00648059218351797
106,0.99,0.002314615353641668
107,0.98,0.006297638835443633
108,0.99,0.003740329772561077
109,1.0,0.0027577343719007576
110,0.96,0.007536658103934376
111,0.96,0.012961337048568531
112,0.99,0.005342003924350889
113,0.96,0.011934148764293639
114,0.99,0.00352701490118692
115,1.0,0.002662397669077715
116,1.0,0.0015166577407009895
117,0.99,0.005141979697210019
118,1.0,0.0020703855718753944
119,0.99,0.005550942224949327
120,1.0,0.0029797777527503515
121,1.0,0.0011705723367841515
122,0.99,0.003330223736029182
123,1.0,0.0016466968056221157
124,0.98,0.007331074383303822
125,1.0,0.0012164048344407848
126,1.0,0.0009955750146343233
127,0.99,0.0017816230540044118
128,1.0,0.0009718600690343683
129,1.0,0.0012958546172159638
130,0.99,0.003955194491887468
131,1.0,0.0011143040300557077
132,1.0,0.0011378702025551194
133,1.0,0.0008543440844723845
134,0.99,0.00448336004771611
135,1.0,0.0012379750815335521
136,1.0,0.0010817061711768333
137,1.0,0.002479891178508999
138,0.99,0.0023502169966745008
139,1.0,0.0010951719745842092
140,1.0,0.0010441709925428939
141,1.0,0.0009368610188454025
142,1.0,0.0011425366926915686
143,1.0,0.0015644724715031938
144,1.0,0.0012134446754181656
145,1.0,0.0012611212125988266
146,1.0,0.0013156069454068966
147,1.0,0.0016196321209504298
148,0.99,0.004268167004409219
149,0.96,0.012873136858119765
150,0.96,0.01272739660343956
151,0.99,0.004649034161915292
152,0.99,0.003445699683144484
