Outer_iter,Outer_Success,MinDisToGoal
0,0.03,0.18061849642572536
1,0.08,0.17131773225762054
2,0.17,0.13060531641515202
3,0.22,0.1422793652742878
4,0.27,0.12168649306775035
5,0.51,0.08789343026572202
6,0.47,0.07896452482733235
7,0.46,0.08786863540426236
8,0.46,0.0913579902881224
9,0.59,0.062171037316222796
10,0.66,0.060054325161438514
11,0.69,0.05804182379282217
12,0.66,0.06327054432551138
13,0.7,0.06533831151162613
14,0.74,0.054054492054914006
15,0.86,0.02885785304487495
16,0.83,0.03497964771992158
17,0.73,0.04850260505812572
18,0.84,0.037890705795864454
19,0.65,0.06310596047915926
20,0.84,0.033024705274729754
21,0.75,0.0459566478470128
22,0.86,0.03281658965493916
23,0.84,0.03443373632452085
24,0.81,0.03811389196241316
25,0.82,0.03208588430081739
26,0.85,0.03073003105530804
27,0.88,0.02446213055670719
28,0.83,0.039972772035776656
29,0.85,0.036747385382440004
30,0.91,0.02025051785395303
31,0.87,0.029489084321655364
32,0.9,0.022283585897232863
33,0.83,0.03744918315316126
34,0.94,0.01905944084222492
35,0.87,0.029894275992873053
36,0.93,0.022399304540198978
37,0.93,0.016537249980963908
38,0.94,0.018587795142761657
39,0.95,0.018123685247626004
40,0.98,0.015291637473896629
41,0.93,0.02135855027575146
42,0.95,0.017840707003622936
43,0.94,0.018237546005093083
44,0.92,0.020240733979334315
45,0.96,0.013691850043368899
46,0.96,0.014178517274226447
47,0.93,0.014517263955604211
48,0.95,0.01478998122895616
49,0.99,0.007981598655358727
50,0.92,0.014754774288575023
51,0.95,0.016005372945008037
52,0.94,0.019631868886472833
