Outer_iter,Outer_Success,MinDisToGoal
0,0.1,0.16979222576352757
1,0.05,0.16871143743639905
2,0.09,0.1716620525629169
3,0.26,0.12407378164604298
4,0.27,0.1374336390192471
5,0.5,0.09926445550845353
6,0.53,0.07751876295415264
7,0.67,0.05913436115425391
8,0.57,0.07019681335770914
9,0.63,0.05626218155916596
10,0.61,0.056686348913253234
11,0.74,0.051903284264173385
12,0.76,0.05843303752047209
13,0.72,0.05493149044867454
14,0.61,0.07841906864756862
15,0.88,0.03872251405873726
16,0.71,0.05973754378093405
17,0.68,0.057042908538467635
18,0.77,0.04955064355615093
19,0.7,0.061167722031471604
20,0.72,0.0592206758737797
21,0.79,0.04130557466283084
22,0.89,0.02657201753805454
23,0.84,0.04179894263288159
24,0.83,0.0385861760402027
25,0.87,0.03391150079162244
26,0.85,0.03598529090950664
27,0.86,0.0364500025312817
28,0.91,0.0234724023301438
29,0.93,0.01915330961610419
30,0.94,0.018666249863226597
31,0.94,0.020405154020454393
32,0.92,0.021766631556262753
33,0.94,0.021813775037443032
34,0.91,0.022238348436465584
35,0.9,0.02378883343235073
36,0.95,0.01647648650450414
37,0.95,0.013647028091796957
38,0.94,0.014272328018549314
39,0.93,0.013934806340665469
40,0.94,0.021752721564298732
41,0.96,0.013497067712547795
42,0.93,0.02022501036538633
43,0.92,0.01913892520336039
44,0.92,0.01662288608020766
45,0.97,0.014393457103671896
46,0.93,0.020015851001196204
47,0.94,0.01769078695759848
48,0.93,0.022054918348426517
49,0.99,0.009853164267578925
50,0.97,0.01574806393327149
51,0.95,0.015721338936992308
52,0.97,0.013028594814806236
