"Step","Value","AWAC-tower3_6-8071d312 - eval_reward__MIN","AWAC-tower3_6-8071d312 - eval_reward__MAX"
"2999","4","4","4"
"5999","10","10","10"
"8999","18","18","18"
"11999","23","23","23"
"14999","48","48","48"
"17999","40","40","40"
"20999","59","59","59"
"23999","27","27","27"
"26999","24","24","24"
"29999","58","58","58"
"32999","40","40","40"
"35999","30","30","30"
"38999","25","25","25"
"41999","28","28","28"
"44999","29","29","29"
"47999","32","32","32"
"50999","30","30","30"
"53999","38","38","38"
"56999","21","21","21"
"59999","23","23","23"
"62999","42","42","42"
"65999","4","4","4"
"68999","30","30","30"
"71999","20","20","20"
"74999","18","18","18"
"77999","27","27","27"
"80999","26","26","26"
"83999","4","4","4"
"86999","40","40","40"
"89999","29","29","29"
"92999","32","32","32"
"95999","41","41","41"
"98999","41","41","41"
"101999","33","33","33"
"104999","19","19","19"
"107999","27","27","27"
"110999","35","35","35"
"113999","43","43","43"
"116999","3","3","3"
"119999","29","29","29"
"122999","29","29","29"
"125999","15","15","15"
"128999","15","15","15"
"131999","15","15","15"
"134999","13","13","13"
"137999","30","30","30"
"140999","20","20","20"
"143999","43","43","43"
"146999","37","37","37"
"149999","24","24","24"
"152999","28","28","28"
"155999","24","24","24"
"158999","27","27","27"
"161999","38","38","38"
"164999","33","33","33"
"167999","42","42","42"
"170999","41","41","41"
"173999","6","6","6"
"176999","0","0","0"
"179999","56","56","56"
"182999","39","39","39"
"185999","34","34","34"
"188999","23","23","23"
"191999","45","45","45"
"194999","23","23","23"
"197999","44","44","44"
"200999","25","25","25"
"203999","44","44","44"
"206999","42","42","42"
"209999","35","35","35"
"212999","11","11","11"
"215999","47","47","47"
"218999","62","62","62"
"221999","63","63","63"
"224999","15","15","15"
"227999","57","57","57"
"230999","9","9","9"
"233999","62","62","62"
"236999","34","34","34"
"239999","5","5","5"
"242999","37","37","37"
"245999","25","25","25"
"248999","44","44","44"
"251999","53","53","53"
"254999","4","4","4"
"257999","36","36","36"
"260999","36","36","36"
"263999","66","66","66"
"266999","54","54","54"
"269999","57","57","57"
"272999","34","34","34"
"275999","43","43","43"
"278999","51","51","51"
"281999","58","58","58"
"284999","29","29","29"
"287999","39","39","39"
"290999","33","33","33"
"293999","57","57","57"
"296999","30","30","30"
"299999","69","69","69"
"302999","23","23","23"
"305999","31","31","31"
"308999","68","68","68"
"311999","55","55","55"
"314999","39","39","39"
"317999","49","49","49"
"320999","54","54","54"
"323999","65","65","65"
"326999","51","51","51"
"329999","43","43","43"
"332999","42","42","42"
"335999","72","72","72"
"338999","13","13","13"
"341999","60","60","60"
"344999","53","53","53"
"347999","44","44","44"
"350999","71","71","71"
"353999","54","54","54"
"356999","83","83","83"
"359999","63","63","63"
"362999","55","55","55"
"365999","31","31","31"
"368999","56","56","56"
"371999","75","75","75"
"374999","70","70","70"
"377999","57","57","57"
"380999","60","60","60"
"383999","22","22","22"
"386999","60","60","60"
"389999","72","72","72"
"392999","76","76","76"
"395999","50","50","50"
"398999","52","52","52"
"401999","66","66","66"
"404999","41","41","41"
"407999","50","50","50"
"410999","51","51","51"
"413999","54","54","54"
"416999","15","15","15"
"419999","40","40","40"
"422999","18","18","18"
"425999","6","6","6"
"428999","63","63","63"
"431999","42","42","42"
"434999","39","39","39"
"437999","70","70","70"
"440999","71","71","71"
"443999","13","13","13"
"446999","16","16","16"
"449999","52","52","52"
"452999","78","78","78"
"455999","61","61","61"
"458999","66","66","66"
"461999","70","70","70"
"464999","68","68","68"
"467999","64","64","64"
"470999","47","47","47"
"473999","66","66","66"
"476999","59","59","59"
"479999","80","80","80"
"482999","50","50","50"
"485999","74","74","74"
"488999","57","57","57"
"491999","60","60","60"
"494999","67","67","67"
"497999","41","41","41"
"500999","39","39","39"
"503999","63","63","63"
"506999","77","77","77"
"509999","68","68","68"
"512999","6","6","6"
"515999","54","54","54"
"518999","83","83","83"
"521999","77","77","77"
"524999","71","71","71"
"527999","64","64","64"
"530999","66","66","66"
"533999","64","64","64"
"536999","55","55","55"
