"Step","Value","AWAC-tower4-seed1 - eval_reward__MIN","AWAC-tower4-seed1 - eval_reward__MAX"
"2999","2","2","2"
"5999","0","0","0"
"8999","0","0","0"
"11999","6","6","6"
"14999","9","9","9"
"17999","33","33","33"
"20999","0","0","0"
"23999","5","5","5"
"26999","6","6","6"
"29999","2","2","2"
"32999","10","10","10"
"35999","2","2","2"
"38999","0","0","0"
"41999","19","19","19"
"44999","21","21","21"
"47999","8","8","8"
"50999","12","12","12"
"53999","14","14","14"
"56999","23","23","23"
"59999","15","15","15"
"62999","20","20","20"
"65999","7","7","7"
"68999","7","7","7"
"71999","12","12","12"
"74999","9","9","9"
"77999","2","2","2"
"80999","13","13","13"
"83999","12","12","12"
"86999","6","6","6"
"89999","12","12","12"
"92999","20","20","20"
"95999","14","14","14"
"98999","13","13","13"
"101999","14","14","14"
"104999","14","14","14"
"107999","18","18","18"
"110999","14","14","14"
"113999","12","12","12"
"116999","20","20","20"
"119999","2","2","2"
"122999","1","1","1"
"125999","3","3","3"
"128999","7","7","7"
"131999","8","8","8"
"134999","6","6","6"
"137999","12","12","12"
"140999","14","14","14"
"143999","3","3","3"
"146999","4","4","4"
"149999","8","8","8"
"152999","1","1","1"
"155999","16","16","16"
"158999","5","5","5"
"161999","30","30","30"
"164999","19","19","19"
"167999","12","12","12"
"170999","24","24","24"
"173999","13","13","13"
"176999","9","9","9"
"179999","11","11","11"
"182999","20","20","20"
"185999","17","17","17"
"188999","32","32","32"
"191999","28","28","28"
"194999","27","27","27"
"197999","21","21","21"
"200999","18","18","18"
"203999","13","13","13"
"206999","3","3","3"
"209999","18","18","18"
"212999","35","35","35"
"215999","17","17","17"
"218999","17","17","17"
"221999","20","20","20"
"224999","32","32","32"
"227999","22","22","22"
"230999","12","12","12"
"233999","20","20","20"
"236999","14","14","14"
"239999","36","36","36"
"242999","25","25","25"
"245999","31","31","31"
"248999","23","23","23"
"251999","23","23","23"
"254999","30","30","30"
"257999","15","15","15"
"260999","16","16","16"
"263999","29","29","29"
"266999","33","33","33"
"269999","23","23","23"
"272999","20","20","20"
"275999","31","31","31"
"278999","29","29","29"
"281999","19","19","19"
"284999","8","8","8"
"287999","31","31","31"
"290999","19","19","19"
"293999","37","37","37"
"296999","12","12","12"
"299999","27","27","27"
"302999","27","27","27"
"305999","39","39","39"
"308999","24","24","24"
"311999","22","22","22"
"314999","11","11","11"
"317999","38","38","38"
"320999","44","44","44"
"323999","42","42","42"
"326999","26","26","26"
"329999","39","39","39"
"332999","46","46","46"
"335999","37","37","37"
"338999","19","19","19"
"341999","20","20","20"
"344999","10","10","10"
"347999","43","43","43"
"350999","37","37","37"
"353999","9","9","9"
"356999","52","52","52"
"359999","43","43","43"
"362999","37","37","37"
"365999","29","29","29"
"368999","26","26","26"
"371999","11","11","11"
"374999","32","32","32"
"377999","21","21","21"
"380999","24","24","24"
"383999","28","28","28"
"386999","43","43","43"
"389999","35","35","35"
"392999","40","40","40"
"395999","44","44","44"
"398999","51","51","51"
"401999","48","48","48"
"404999","57","57","57"
"407999","30","30","30"
"410999","47","47","47"
"413999","48","48","48"
"416999","51","51","51"
"419999","59","59","59"
"422999","21","21","21"
"425999","47","47","47"
"428999","47","47","47"
"431999","27","27","27"
"434999","52","52","52"
"437999","40","40","40"
"440999","51","51","51"
"443999","53","53","53"
"446999","25","25","25"
"449999","58","58","58"
"452999","29","29","29"
"455999","12","12","12"
"458999","62","62","62"
"461999","64","64","64"
"464999","50","50","50"
"467999","39","39","39"
"470999","45","45","45"
"473999","26","26","26"
"476999","29","29","29"
"479999","64","64","64"
"482999","64","64","64"
"485999","44","44","44"
"488999","52","52","52"
"491999","43","43","43"
"494999","39","39","39"
"497999","47","47","47"
"500999","30","30","30"
"503999","35","35","35"
"506999","43","43","43"
"509999","47","47","47"
"512999","49","49","49"
"515999","48","48","48"
"518999","41","41","41"
"521999","58","58","58"
"524999","47","47","47"
"527999","58","58","58"
"530999","29","29","29"
"533999","72","72","72"
"536999","29","29","29"
"539999","66","66","66"
"542999","53","53","53"
"545999","72","72","72"
"548999","60","60","60"
"551999","55","55","55"
"554999","29","29","29"
"557999","56","56","56"
"560999","56","56","56"
"563999","38","38","38"
"566999","37","37","37"
"569999","47","47","47"
"572999","76","76","76"
"575999","50","50","50"
"578999","69","69","69"
"581999","62","62","62"
"584999","65","65","65"
"587999","62","62","62"
"590999","58","58","58"
"593999","57","57","57"
"596999","71","71","71"
"599999","69","69","69"
"602999","63","63","63"
"605999","70","70","70"
"608999","54","54","54"
"611999","63","63","63"
"614999","77","77","77"
"617999","66","66","66"
"620999","60","60","60"
"623999","67","67","67"
"626999","27","27","27"
"629999","60","60","60"
"632999","44","44","44"
"635999","32","32","32"
"638999","72","72","72"
"641999","52","52","52"
"644999","56","56","56"
"647999","59","59","59"
"650999","61","61","61"
"653999","73","73","73"
"656999","78","78","78"
"659999","75","75","75"
"662999","60","60","60"
"665999","74","74","74"
"668999","60","60","60"
"671999","41","41","41"
"674999","67","67","67"
"677999","25","25","25"
"680999","51","51","51"
"683999","65","65","65"
"686999","64","64","64"
"689999","56","56","56"
"692999","50","50","50"
"695999","62","62","62"
"698999","73","73","73"
"701999","69","69","69"
"704999","71","71","71"
"707999","51","51","51"
"710999","67","67","67"
"713999","73","73","73"
"716999","60","60","60"
"719999","68","68","68"
"722999","66","66","66"
"725999","75","75","75"
"728999","62","62","62"
"731999","51","51","51"
"734999","79","79","79"
"737999","48","48","48"
"740999","52","52","52"
"743999","65","65","65"
"746999","71","71","71"
"749999","63","63","63"
"752999","69","69","69"
"755999","69","69","69"
"758999","71","71","71"
"761999","87","87","87"
"764999","75","75","75"
"767999","60","60","60"
"770999","37","37","37"
"773999","58","58","58"
"776999","66","66","66"
"779999","65","65","65"
"782999","58","58","58"
"785999","64","64","64"
"788999","68","68","68"
"791999","71","71","71"
"794999","57","57","57"
"797999","76","76","76"
"800999","67","67","67"
"803999","71","71","71"
"806999","13","13","13"
"809999","73","73","73"
"812999","76","76","76"
"815999","63","63","63"
"818999","47","47","47"
"821999","60","60","60"
"824999","63","63","63"
"827999","56","56","56"
"830999","41","41","41"
"833999","73","73","73"
"836999","65","65","65"
"839999","74","74","74"
"842999","66","66","66"
"845999","75","75","75"
"848999","69","69","69"
"851999","74","74","74"
"854999","66","66","66"
"857999","79","79","79"
"860999","76","76","76"
"863999","62","62","62"
"866999","74","74","74"
"869999","69","69","69"
"872999","75","75","75"
"875999","58","58","58"
"878999","54","54","54"
