Step,Value
0,12
5000,18
10000,19
15000,21
20000,28
25000,54
30000,42
35000,8
40000,16
45000,25
50000,11
55000,28
60000,9
65000,7
70000,9
75000,13
80000,24
85000,7
90000,25
95000,16
100000,15
105000,30
110000,22
115000,6
120000,14
125000,20
130000,12
135000,32
140000,3
145000,25
150000,27
155000,20
160000,32
165000,11
170000,5
175000,17
180000,19
185000,27
190000,28
195000,35
200000,31
205000,11
210000,19
215000,21
220000,25
225000,27
230000,14
235000,23
240000,17
245000,36
250000,33
255000,12
260000,27
265000,49
270000,16
275000,10
280000,25
285000,20
290000,13
295000,28
300000,40
305000,21
310000,6
315000,8
320000,38
325000,45
330000,36
335000,33
340000,49
345000,19
350000,26
355000,32
360000,62
365000,18
370000,67
375000,39
380000,53
385000,33
390000,41
395000,14
400000,28
405000,40
410000,38
415000,18
420000,56
425000,57
430000,31
435000,68
440000,8
445000,31
450000,35
455000,39
460000,31
465000,68
470000,46
475000,18
480000,45
485000,33
490000,46
495000,74
500000,70
505000,48
510000,57
515000,60
520000,27
525000,52
530000,43
535000,66
540000,42
545000,32
550000,77
555000,55
560000,77
565000,47
570000,45
575000,5
580000,43
585000,14
590000,61
595000,72
600000,63
605000,30
610000,44
615000,14
620000,9
625000,35
630000,72
635000,54
640000,76
645000,68
650000,8
655000,57
660000,61
665000,45
670000,68
675000,57
680000,37
685000,21
690000,38
695000,55
700000,78
705000,60
710000,43
715000,56
720000,79
725000,62
730000,50
735000,42
740000,34
745000,64
750000,32
755000,68
760000,67
765000,71
770000,28
775000,32
780000,50
785000,38
790000,28
795000,85
800000,71
805000,46
810000,37
815000,55
820000,29
825000,73
830000,77
835000,38
840000,76
845000,33
850000,72
855000,83
860000,76
865000,37
870000,36
875000,77
880000,62
885000,93
890000,76
895000,70
900000,69
905000,66
910000,68
915000,53
920000,75
925000,76
930000,84
935000,25
940000,64
945000,59
950000,77
955000,70
960000,31
965000,81
970000,78
975000,69
980000,69
985000,29
990000,31
995000,71
1000000,73
1005000,72
1010000,74
1015000,78
1020000,79
1025000,52
1030000,63
1035000,85
1040000,50
1045000,55
1050000,78
1055000,71
1060000,68
1065000,42
1070000,82
1075000,68
1080000,78
1085000,53
1090000,29
1095000,64
1100000,72
1105000,67
1110000,63
1115000,76
1120000,73
1125000,50
1130000,57
1135000,62
1140000,43
1145000,81
1150000,52
1155000,69
1160000,71
1165000,45
1170000,79
1175000,68
1180000,72
1185000,67
1190000,77
1195000,74
1200000,73
1205000,83
1210000,68
1215000,89
1220000,81
1225000,40
1230000,57
1235000,57
1240000,83
1245000,81
1250000,57
1255000,70
1260000,61
1265000,61
1270000,84
1275000,85
1280000,71
1285000,69
1290000,79
1295000,83
1300000,77
1305000,82
1310000,79
1315000,74
1320000,76
1325000,81
1330000,75
1335000,88
1340000,76
1345000,41
1350000,48
1355000,70
1360000,86
1365000,54
1370000,38
1375000,84
1380000,70
1385000,69
1390000,82
1395000,91
1400000,88
1405000,80
1410000,73
1415000,80
1420000,81
1425000,58
1430000,81
1435000,82
1440000,79
1445000,40
1450000,58
1455000,52
1460000,82
1465000,79
1470000,82
1475000,82
1480000,75
1485000,71
1490000,79
1495000,82
1500000,78
1505000,80
1510000,71
1515000,78
1520000,33
1525000,78
1530000,81
1535000,84
1540000,69
1545000,80
1550000,81
1555000,76
1560000,77
1565000,84
1570000,78
1575000,82
1580000,80
1585000,49
1590000,76
1595000,85
1600000,83
1605000,73
1610000,70
1615000,84
1620000,82
1625000,79
1630000,87
1635000,83
1640000,80
1645000,55
1650000,75
1655000,82
1660000,83
1665000,89
1670000,79
1675000,87
1680000,85
1685000,82
1690000,82
1695000,76
1700000,76
1705000,75
1710000,78
1715000,85
1720000,83
1725000,84
1730000,65
1735000,74
1740000,82
1745000,56
1750000,70
1755000,75
1760000,78
1765000,84
1770000,81
1775000,86
1780000,89
1785000,83
1790000,68
1795000,91
1800000,88
1805000,87
1810000,55
1815000,71
1820000,80
1825000,75
1830000,81
1835000,76
1840000,81
1845000,84
1850000,25
1855000,75
1860000,82
1865000,70
1870000,86
1875000,79
1880000,85
1885000,78
1890000,73
1895000,92
1900000,85
1905000,51
1910000,77
1915000,86
1920000,74
1925000,75
1930000,81
1935000,85
1940000,83
1945000,84
1950000,78
1955000,78
1960000,78
1965000,85
